
  0%|                                                                                                                       | 0/10 [00:00<?, ?it/s]
0, 0.1364392638206482
1, 0.1364392638206482
2, 0.12979230284690857
3, 0.1169481873512268
4, 0.09893618524074554
5, 0.07756029069423676
6, 0.05549608916044235
7, 0.03876973316073418
8, 0.0270344577729702
9, 0.0194710660725832
10, 0.015016689896583557
11, 0.012623841874301434
12, 0.011442428454756737
13, 0.010875406675040722
14, 0.010549306869506836
15, 0.010254975408315659
16, 0.009889005683362484
17, 0.009419534355401993
18, 0.008856519125401974
19, 0.00822805892676115
20, 0.007568026892840862
21, 0.006910387426614761
22, 0.006285577546805143
23, 0.0057200295850634575
24, 0.005228625610470772
25, 0.0048157088458538055
26, 0.004478946328163147
27, 0.004210186190903187
28, 0.003996988758444786
29, 0.0038243194576352835
30, 0.0036778729408979416
31, 0.0035448442213237286
32, 0.0034145372919738293
33, 0.0032803802751004696
34, 0.003138534491881728
35, 0.0029880781657993793
36, 0.0028304806910455227
37, 0.002668613102287054
38, 0.0025058663450181484
39, 0.0023463552352041006
40, 0.002193827647715807
41, 0.002051261253654957
42, 0.0019206709694117308
43, 0.0018032873049378395
44, 0.0016990116564556956
45, 0.0016072462312877178
46, 0.0015265510883182287
47, 0.0014552588108927011
48, 0.0013914209557697177
49, 0.0013333731330931187
50, 0.0012795224320143461
51, 0.0012287432327866554
52, 0.0011804839596152306
53, 0.0011342986254021525
54, 0.0010902592912316322
55, 0.001048448495566845
56, 0.0010088264243677258
57, 0.0009717876091599464
58, 0.0009373551583848894
59, 0.000905423890799284
60, 0.0008757931063883007
61, 0.0008482615230605006
62, 0.0008225248893722892
63, 0.0007983052055351436
64, 0.000775387161411345
65, 0.0007535362965427339
66, 0.0007326302584260702
67, 0.0007125631673261523
68, 0.0006933724507689476
69, 0.0006750646862201393
70, 0.0006576866726391017
71, 0.0006412884104065597
72, 0.0006258531357161701
73, 0.0006114132120274007
74, 0.0005979440174996853
75, 0.0005853594630025327
76, 0.0005735752638429403
77, 0.0005625927005894482
78, 0.0005521904095076025
79, 0.0005423788679763675
80, 0.0005330783897079527
81, 0.0005242341430857778
82, 0.0005157722625881433
83, 0.0005076532252132893
84, 0.0004999000229872763
85, 0.000492496183142066
86, 0.0004853922873735428
87, 0.0004786284116562456
88, 0.00047214337973855436
89, 0.0004659518599510193
90, 0.00046001787995919585
91, 0.00045435698120854795
92, 0.0004489049024414271
93, 0.0004436667077243328
94, 0.0004386689979583025
95, 0.00043384492164477706
96, 0.0004292068479117006
97, 0.00042472267523407936
98, 0.000420418509747833
99, 0.00041622103890404105
100, 0.0004121965612284839
101, 0.00040828384226188064
102, 0.0004045062232762575
103, 0.0004008435644209385
104, 0.00039730267599225044
105, 0.00039384543197229505
106, 0.00039050658233463764
107, 0.00038727125502191484
108, 0.00038413036963902414
109, 0.0003810778143815696
110, 0.0003781148116104305
111, 0.00037526313099078834
112, 0.00037247914588078856
113, 0.00036976818228140473
114, 0.00036714025191031396
115, 0.00036457693204283714
116, 0.00036210715188644826
117, 0.0003596746828407049
118, 0.00035731930984184146
119, 0.00035501172533258796
120, 0.00035277777351439
121, 0.000350595626514405
122, 0.00034846190828830004
123, 0.00034639425575733185
124, 0.0003443694149609655
125, 0.0003424077294766903
126, 0.0003404882736504078
127, 0.0003386122116353363
128, 0.0003367876051925123
129, 0.0003350065089762211
130, 0.0003332669730298221
131, 0.0003315623616799712
132, 0.00032991700572893023
133, 0.0003283004916738719
134, 0.0003267306601628661
135, 0.0003251884481869638
136, 0.0003236842167098075
137, 0.0003222257364541292
138, 0.00032079132506623864
139, 0.0003193911106791347
140, 0.0003180293133482337
141, 0.0003167020622640848
142, 0.0003154057776555419
143, 0.00031413676333613694
144, 0.00031289883190765977
145, 0.0003116956213489175
146, 0.0003105175564996898
147, 0.00030936248367652297
148, 0.00030823471024632454
149, 0.000307131907902658
150, 0.00030605646315962076
151, 0.00030502237495966256
152, 0.00030399771640077233
153, 0.0003030031220987439
154, 0.00030203693313524127
155, 0.0003010922810062766
156, 0.0003001656150445342
157, 0.00029927247669547796
158, 0.00029839755734428763
159, 0.00029754091519862413
160, 0.0002967107284348458
161, 0.0002959030098281801
162, 0.0002951064961962402
163, 0.00029433914460241795
164, 0.0002935917000286281
165, 0.0002928616013377905
166, 0.00029215621179901063
167, 0.000291471864329651
168, 0.00029079191153869033
169, 0.0002901501429732889
170, 0.00028950709383934736
171, 0.0002888962044380605
172, 0.0002882979460991919
173, 0.00028771910001523793
174, 0.00028715209919027984
175, 0.00028660683892667294
176, 0.0002860790700651705
177, 0.00028556326287798584
178, 0.0002850604651030153
179, 0.00028458592714741826
