2024-04-23 18:50:50,567 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Configure stats pid to 2670680
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Loading settings from /home/icl2/.config/wandb/settings
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Loading settings from /home/icl2/khlee/InstaFlow/code/wandb/settings
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code/main_new_algorithm.py', 'program': '/home/icl2/khlee/InstaFlow/code/main_new_algorithm.py'}
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_init.py:_log_setup():507] Logging user logs to /home/icl2/khlee/InstaFlow/code/wandb/run-20240423_185050-dtvg6vcs/logs/debug.log
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_init.py:_log_setup():508] Logging internal logs to /home/icl2/khlee/InstaFlow/code/wandb/run-20240423_185050-dtvg6vcs/logs/debug-internal.log
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_init.py:init():547] calling init triggers
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_init.py:init():596] starting backend
2024-04-23 18:50:50,568 INFO    MainThread:2670680 [wandb_init.py:init():600] setting up manager
2024-04-23 18:50:50,569 INFO    MainThread:2670680 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-23 18:50:50,570 INFO    MainThread:2670680 [wandb_init.py:init():606] backend started and connected
2024-04-23 18:50:50,572 INFO    MainThread:2670680 [wandb_init.py:init():705] updated telemetry
2024-04-23 18:50:50,631 INFO    MainThread:2670680 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2024-04-23 18:50:51,256 INFO    MainThread:2670680 [wandb_run.py:_on_init():2173] communicating current version
2024-04-23 18:50:51,352 INFO    MainThread:2670680 [wandb_run.py:_on_init():2182] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-23 18:50:51,352 INFO    MainThread:2670680 [wandb_init.py:init():789] starting run threads in backend
2024-04-23 18:51:01,879 INFO    MainThread:2670680 [wandb_run.py:_console_start():2152] atexit reg
2024-04-23 18:51:01,879 INFO    MainThread:2670680 [wandb_run.py:_redirect():2007] redirect: SettingsConsole.WRAP_RAW
2024-04-23 18:51:01,879 INFO    MainThread:2670680 [wandb_run.py:_redirect():2072] Wrapping output streams.
2024-04-23 18:51:01,879 INFO    MainThread:2670680 [wandb_run.py:_redirect():2097] Redirects installed.
2024-04-23 18:51:01,880 INFO    MainThread:2670680 [wandb_init.py:init():830] run started, returning control to user process
2024-04-23 18:51:01,881 INFO    MainThread:2670680 [wandb_run.py:_config_callback():1281] config_cb None None {'run_name': 'dec_inv_float32', 'randomize_seed': False, 'gen_seed': 0, 'guidance_scale': 1, 'dataset': 'Gustavosta/Stable-Diffusion-Prompts', 'start': 0, 'end': 100, 'inversion_type': 'dec_inv', 'use_float': True, 'decoder_inv_steps': 50, 'decoder_lr': 0.05, 'forward_steps': 100, 'tuning_steps': 0, 'tuning_lr': 0.0, 'reg_coeff': 0.0, 'with_tracking': True}
2024-04-23 19:24:23,088 INFO    MainThread:2670680 [wandb_run.py:_finish():1887] finishing run litiphysics/GO GO/dtvg6vcs
2024-04-23 19:24:23,088 INFO    MainThread:2670680 [wandb_run.py:_atexit_cleanup():2121] got exitcode: 0
2024-04-23 19:24:23,088 INFO    MainThread:2670680 [wandb_run.py:_restore():2104] restore
2024-04-23 19:24:23,088 INFO    MainThread:2670680 [wandb_run.py:_restore():2110] restore done
2024-04-23 19:24:57,112 INFO    MainThread:2670680 [wandb_run.py:_footer_history_summary_info():3464] rendering history
2024-04-23 19:24:57,113 INFO    MainThread:2670680 [wandb_run.py:_footer_history_summary_info():3496] rendering summary
2024-04-23 19:24:57,119 INFO    MainThread:2670680 [wandb_run.py:_footer_sync_info():3423] logging synced files
