
  0%|                                                                                                                                                                                                                                                                                                | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1-1, NMSE : 0.0174713134765625, lr : 0.010000000000000002
	1-2, NMSE : 0.017486572265625, lr : 0.001
2-1, NMSE : 0.0170135498046875, lr : 0.020000000000000004
	2-2, NMSE : 0.0170135498046875, lr : 0.002
3-1, NMSE : 0.0163421630859375, lr : 0.03
	3-2, NMSE : 0.0163726806640625, lr : 0.003
4-1, NMSE : 0.0155181884765625, lr : 0.04000000000000001
	4-2, NMSE : 0.01555633544921875, lr : 0.004
5-1, NMSE : 0.01458740234375, lr : 0.05
	5-2, NMSE : 0.0146331787109375, lr : 0.005
6-1, NMSE : 0.0135650634765625, lr : 0.06
	6-2, NMSE : 0.0136260986328125, lr : 0.006
7-1, NMSE : 0.01251983642578125, lr : 0.06999999999999999
	7-2, NMSE : 0.01259613037109375, lr : 0.006999999999999999
8-1, NMSE : 0.011474609375, lr : 0.08000000000000002
	8-2, NMSE : 0.011566162109375, lr : 0.008
9-1, NMSE : 0.01047515869140625, lr : 0.09000000000000001
	9-2, NMSE : 0.01058197021484375, lr : 0.009000000000000001
10-1, NMSE : 0.00954437255859375, lr : 0.1
	10-2, NMSE : 0.00968170166015625, lr : 0.01
11-1, NMSE : 0.0087890625, lr : 0.1
	11-2, NMSE : 0.008941650390625, lr : 0.01
12-1, NMSE : 0.0081634521484375, lr : 0.0999695413509548
	12-2, NMSE : 0.00832366943359375, lr : 0.009996954135095479
13-1, NMSE : 0.007640838623046875, lr : 0.09987820251299122
	13-2, NMSE : 0.00782012939453125, lr : 0.009987820251299122
14-1, NMSE : 0.0072021484375, lr : 0.09972609476841367
	14-2, NMSE : 0.007389068603515625, lr : 0.009972609476841367
15-1, NMSE : 0.006839752197265625, lr : 0.09951340343707853
	15-2, NMSE : 0.007030487060546875, lr : 0.009951340343707852
16-1, NMSE : 0.006534576416015625, lr : 0.09924038765061041
	16-2, NMSE : 0.00673675537109375, lr : 0.00992403876506104
17-1, NMSE : 0.0062713623046875, lr : 0.09890738003669029
	17-2, NMSE : 0.006481170654296875, lr : 0.009890738003669028
18-1, NMSE : 0.00605010986328125, lr : 0.09851478631379983
	18-2, NMSE : 0.00626373291015625, lr : 0.009851478631379982
19-1, NMSE : 0.005859375, lr : 0.09806308479691594
	19-2, NMSE : 0.006072998046875, lr : 0.009806308479691595
20-1, NMSE : 0.005706787109375, lr : 0.09755282581475769
	20-2, NMSE : 0.005908966064453125, lr : 0.009755282581475769
21-1, NMSE : 0.00556182861328125, lr : 0.09698463103929543
	21-2, NMSE : 0.00577545166015625, lr : 0.009698463103929543
22-1, NMSE : 0.00543975830078125, lr : 0.09635919272833937
	22-2, NMSE : 0.0056610107421875, lr : 0.009635919272833937
23-1, NMSE : 0.005329132080078125, lr : 0.09567727288213004
	23-2, NMSE : 0.00555419921875, lr : 0.009567727288213004
24-1, NMSE : 0.005237579345703125, lr : 0.09493970231495835
	24-2, NMSE : 0.00547027587890625, lr : 0.009493970231495836
25-1, NMSE : 0.005161285400390625, lr : 0.09414737964294635
	25-2, NMSE : 0.005382537841796875, lr : 0.009414737964294635
26-1, NMSE : 0.005092620849609375, lr : 0.09330127018922195
	26-2, NMSE : 0.00531005859375, lr : 0.009330127018922194
27-1, NMSE : 0.005023956298828125, lr : 0.0924024048078213
	27-2, NMSE : 0.0052490234375, lr : 0.00924024048078213
28-1, NMSE : 0.00496673583984375, lr : 0.09145187862775209
	28-2, NMSE : 0.005191802978515625, lr : 0.009145187862775208
29-1, NMSE : 0.004909515380859375, lr : 0.09045084971874738
	29-2, NMSE : 0.00513458251953125, lr : 0.009045084971874737
30-1, NMSE : 0.0048675537109375, lr : 0.08940053768033611
	30-2, NMSE : 0.005092620849609375, lr : 0.00894005376803361
31-1, NMSE : 0.004825592041015625, lr : 0.0883022221559489
	31-2, NMSE : 0.00504302978515625, lr : 0.00883022221559489
32-1, NMSE : 0.004791259765625, lr : 0.08715724127386971
	32-2, NMSE : 0.0050048828125, lr : 0.008715724127386972
33-1, NMSE : 0.004756927490234375, lr : 0.08596699001693256
	33-2, NMSE : 0.004978179931640625, lr : 0.008596699001693256
34-1, NMSE : 0.004730224609375, lr : 0.08473291852294987
	34-2, NMSE : 0.004947662353515625, lr : 0.008473291852294987
35-1, NMSE : 0.004703521728515625, lr : 0.08345653031794292
	35-2, NMSE : 0.00492095947265625, lr : 0.008345653031794291
36-1, NMSE : 0.00467681884765625, lr : 0.08213938048432697
	36-2, NMSE : 0.00489044189453125, lr : 0.008213938048432696
37-1, NMSE : 0.004657745361328125, lr : 0.08078307376628291
	37-2, NMSE : 0.0048675537109375, lr : 0.008078307376628291
38-1, NMSE : 0.004638671875, lr : 0.07938926261462366
	38-2, NMSE : 0.004848480224609375, lr : 0.007938926261462366
39-1, NMSE : 0.004619598388671875, lr : 0.07795964517353735
	39-2, NMSE : 0.004825592041015625, lr : 0.007795964517353734
40-1, NMSE : 0.004608154296875, lr : 0.07649596321166025
	40-2, NMSE : 0.004810333251953125, lr : 0.007649596321166025
41-1, NMSE : 0.004596710205078125, lr : 0.07500000000000001
	41-2, NMSE : 0.004791259765625, lr : 0.0075
42-1, NMSE : 0.00458526611328125, lr : 0.07347357813929455
	42-2, NMSE : 0.0047760009765625, lr : 0.007347357813929454
43-1, NMSE : 0.00457000732421875, lr : 0.07191855733945388
	43-2, NMSE : 0.004756927490234375, lr : 0.007191855733945388
44-1, NMSE : 0.0045623779296875, lr : 0.07033683215379001
	44-2, NMSE : 0.004741668701171875, lr : 0.007033683215379001
45-1, NMSE : 0.004547119140625, lr : 0.0687303296707956
	45-2, NMSE : 0.004730224609375, lr : 0.00687303296707956
46-1, NMSE : 0.00453948974609375, lr : 0.06710100716628345
	46-2, NMSE : 0.0047149658203125, lr : 0.006710100716628344
47-1, NMSE : 0.0045318603515625, lr : 0.06545084971874737
	47-2, NMSE : 0.004703521728515625, lr : 0.006545084971874737
48-1, NMSE : 0.00452423095703125, lr : 0.06378186779084996
	48-2, NMSE : 0.00469207763671875, lr : 0.006378186779084995
49-1, NMSE : 0.004520416259765625, lr : 0.062096094779983395
	49-2, NMSE : 0.0046844482421875, lr : 0.006209609477998339
50-1, NMSE : 0.004512786865234375, lr : 0.060395584540887975
	50-2, NMSE : 0.004673004150390625, lr : 0.006039558454088797
51-1, NMSE : 0.004505157470703125, lr : 0.058682408883346526
	51-2, NMSE : 0.004665374755859375, lr : 0.005868240888334653
52-1, NMSE : 0.0045013427734375, lr : 0.056958655048003286
	52-2, NMSE : 0.004650115966796875, lr : 0.005695865504800328
53-1, NMSE : 0.004497528076171875, lr : 0.05522642316338268
	53-2, NMSE : 0.00464630126953125, lr : 0.0055226423163382676
54-1, NMSE : 0.00449371337890625, lr : 0.053487823687206275
	54-2, NMSE : 0.004634857177734375, lr : 0.005348782368720627
55-1, NMSE : 0.004486083984375, lr : 0.05174497483512506
	55-2, NMSE : 0.004619598388671875, lr : 0.005174497483512506
56-1, NMSE : 0.004486083984375, lr : 0.05
	56-2, NMSE : 0.004619598388671875, lr : 0.005
57-1, NMSE : 0.004482269287109375, lr : 0.04825502516487497
	57-2, NMSE : 0.004604339599609375, lr : 0.004825502516487497
58-1, NMSE : 0.004474639892578125, lr : 0.04651217631279374
	58-2, NMSE : 0.00460052490234375, lr : 0.004651217631279373
59-1, NMSE : 0.004474639892578125, lr : 0.04477357683661734
	59-2, NMSE : 0.004589080810546875, lr : 0.0044773576836617335
60-1, NMSE : 0.0044708251953125, lr : 0.043041344951996734
	60-2, NMSE : 0.00458526611328125, lr : 0.004304134495199673
