  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.7955, device='cuda:0') 117.0625 119.875
tensor(0.7941, device='cuda:0') 117.0 119.875
tensor(0.7925, device='cuda:0') 117.0 119.8125
tensor(0.7903, device='cuda:0') 116.9375 119.75
tensor(0.7870, device='cuda:0') 116.875 119.625
tensor(0.7837, device='cuda:0') 116.8125 119.5625
tensor(0.7805, device='cuda:0') 116.6875 119.4375
tensor(0.7770, device='cuda:0') 116.625 119.3125
tensor(0.7729, device='cuda:0') 116.5 119.1875
tensor(0.7690, device='cuda:0') 116.4375 119.0625
tensor(0.7659, device='cuda:0') 116.3125 118.875
tensor(0.7621, device='cuda:0') 116.25 118.75
tensor(0.7584, device='cuda:0') 116.125 118.5625
tensor(0.7554, device='cuda:0') 116.0625 118.4375
tensor(0.7507, device='cuda:0') 115.9375 118.3125
  1%|██▌                                                                                                                                                                                                                                                          | 1/100 [00:07<11:59,  7.26s/it]
tensor(0.7483, device='cuda:0') 115.875 118.1875
tensor(0.7444, device='cuda:0') 115.8125 118.0625
tensor(0.7374, device='cuda:0') 115.75 117.9375
tensor(0.7286, device='cuda:0') 115.6875 117.8125
tensor(0.6803, device='cuda:0') 115.625 117.6875
tensor(0.6394, device='cuda:0') 116.3125 119.5625
tensor(0.6371, device='cuda:0') 116.3125 119.5625
tensor(0.6331, device='cuda:0') 116.25 119.5
tensor(0.6275, device='cuda:0') 116.1875 119.5
tensor(0.6202, device='cuda:0') 116.125 119.4375
tensor(0.6118, device='cuda:0') 116.0625 119.375
tensor(0.6020, device='cuda:0') 116.0 119.3125
tensor(0.5949, device='cuda:0') 115.875 119.1875
tensor(0.5838, device='cuda:0') 115.75 119.125
tensor(0.5699, device='cuda:0') 115.6875 119.0
tensor(0.5520, device='cuda:0') 115.5625 118.9375
tensor(0.5297, device='cuda:0') 115.4375 118.875
tensor(0.5063, device='cuda:0') 115.375 118.75
tensor(0.4779, device='cuda:0') 115.25 118.6875
tensor(0.4437, device='cuda:0') 115.125 118.5625
tensor(0.4073, device='cuda:0') 115.0 118.5
tensor(0.3736, device='cuda:0') 114.9375 118.375
tensor(0.3627, device='cuda:0') 114.8125 118.3125
tensor(0.4051, device='cuda:0') 114.6875 118.1875

  2%|█████                                                                                                                                                                                                                                                        | 2/100 [00:14<11:29,  7.03s/it]
tensor(0.5451, device='cuda:0') 129.625 132.0
tensor(0.5411, device='cuda:0') 129.5 132.0
tensor(0.5795, device='cuda:0') 129.5 131.875
tensor(0.5761, device='cuda:0') 129.5 131.875
tensor(0.5657, device='cuda:0') 129.5 131.875
tensor(0.5442, device='cuda:0') 129.375 131.75
tensor(0.5155, device='cuda:0') 129.375 131.75
tensor(0.4891, device='cuda:0') 129.25 131.625
tensor(0.4923, device='cuda:0') 129.25 131.625
tensor(0.4606, device='cuda:0') 129.125 131.5
tensor(0.4208, device='cuda:0') 129.0 131.375
tensor(0.4003, device='cuda:0') 129.0 131.375
tensor(0.4237, device='cuda:0') 128.875 131.25
tensor(0.3765, device='cuda:0') 128.875 131.125
tensor(0.3268, device='cuda:0') 128.75 131.125
tensor(0.2973, device='cuda:0') 128.75 131.0
tensor(0.3211, device='cuda:0') 128.625 130.875

tensor(0.4665, device='cuda:0') 128.625 130.875
tensor(0.4981, device='cuda:0') 128.5 130.75
tensor(0.4629, device='cuda:0') 128.5 130.75
tensor(0.6807, device='cuda:0') 126.625 127.375
tensor(0.6807, device='cuda:0') 126.625 127.375
tensor(0.6822, device='cuda:0') 126.625 127.375
tensor(0.6893, device='cuda:0') 126.625 127.375
tensor(0.6920, device='cuda:0') 126.625 127.375
tensor(0.6934, device='cuda:0') 126.625 127.3125
tensor(0.6927, device='cuda:0') 126.625 127.3125
tensor(0.6883, device='cuda:0') 126.625 127.3125
tensor(0.6827, device='cuda:0') 126.625 127.25
tensor(0.6736, device='cuda:0') 126.625 127.3125
tensor(0.6657, device='cuda:0') 126.625 127.25
tensor(0.6578, device='cuda:0') 126.6875 127.25
tensor(0.6498, device='cuda:0') 126.6875 127.25
tensor(0.6401, device='cuda:0') 126.6875 127.25
tensor(0.6363, device='cuda:0') 126.6875 127.25
tensor(0.6457, device='cuda:0') 126.6875 127.25
tensor(0.6501, device='cuda:0') 126.75 127.25
tensor(0.6380, device='cuda:0') 126.75 127.25
tensor(0.6375, device='cuda:0') 126.75 127.25

  4%|██████████                                                                                                                                                                                                                                                   | 4/100 [00:27<11:04,  6.93s/it]
tensor(0.3798, device='cuda:0') 130.375 130.375
tensor(0.3719, device='cuda:0') 130.5 130.375
tensor(0.3636, device='cuda:0') 130.5 130.25
tensor(0.3546, device='cuda:0') 130.5 130.25
tensor(0.3267, device='cuda:0') 130.625 130.25
tensor(0.3114, device='cuda:0') 130.625 130.125
tensor(0.3025, device='cuda:0') 130.75 130.125
tensor(0.2947, device='cuda:0') 130.875 130.0
tensor(0.2705, device='cuda:0') 131.0 130.0
tensor(0.2501, device='cuda:0') 131.125 129.875
tensor(0.2118, device='cuda:0') 131.25 129.875
tensor(0.2045, device='cuda:0') 131.375 129.875
tensor(0.2125, device='cuda:0') 131.5 129.875
tensor(0.2073, device='cuda:0') 131.625 129.75
tensor(0.1588, device='cuda:0') 131.875 129.75
tensor(0.1512, device='cuda:0') 132.0 129.75
tensor(0.1204, device='cuda:0') 132.25 129.75
tensor(0.1158, device='cuda:0') 132.5 129.75
tensor(0.1411, device='cuda:0') 132.625 129.75
  5%|████████████▋                                                                                                                                                                                                                                                | 5/100 [00:34<10:58,  6.93s/it]Token indices sequence length is longer than the specified maximum sequence length for this model (93 > 77). Running this sequence through the model will result in indexing errors
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: ['morbacher, female, feminine, art deco, new baroque, intricate linework']
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: ['morbacher, female, feminine, art deco, new baroque, intricate linework']
tensor(0.5255, device='cuda:0') 105.3125 107.125
tensor(0.5244, device='cuda:0') 105.3125 107.125
tensor(0.5180, device='cuda:0') 105.3125 107.125
tensor(0.5010, device='cuda:0') 105.25 107.125
tensor(0.4957, device='cuda:0') 105.25 107.0625
tensor(0.5116, device='cuda:0') 105.25 107.0625
tensor(0.5137, device='cuda:0') 105.1875 107.0
tensor(0.5062, device='cuda:0') 105.1875 107.0
tensor(0.4909, device='cuda:0') 105.1875 107.0
tensor(0.4679, device='cuda:0') 105.125 106.9375
tensor(0.4411, device='cuda:0') 105.125 106.9375
  6%|███████████████▏                                                                                                                                                                                                                                             | 6/100 [00:41<10:49,  6.91s/it]
tensor(0.4058, device='cuda:0') 105.125 106.9375
tensor(0.3623, device='cuda:0') 105.0625 106.875
tensor(0.3339, device='cuda:0') 105.0625 106.875
tensor(0.2861, device='cuda:0') 105.0625 106.8125
tensor(0.2588, device='cuda:0') 105.0 106.8125
tensor(0.2071, device='cuda:0') 105.0 106.75
tensor(0.1628, device='cuda:0') 105.0 106.75
tensor(0.1844, device='cuda:0') 104.9375 106.75
tensor(0.1822, device='cuda:0') 104.9375 106.6875
tensor(0.7106, device='cuda:0') 118.9375 120.3125
tensor(0.7087, device='cuda:0') 118.9375 120.25
tensor(0.7051, device='cuda:0') 118.9375 120.25
tensor(0.7003, device='cuda:0') 118.875 120.25
tensor(0.6936, device='cuda:0') 118.875 120.1875
tensor(0.6862, device='cuda:0') 118.875 120.1875
tensor(0.6772, device='cuda:0') 118.8125 120.1875
tensor(0.6670, device='cuda:0') 118.8125 120.125
tensor(0.6560, device='cuda:0') 118.75 120.125
tensor(0.6430, device='cuda:0') 118.75 120.125
tensor(0.6304, device='cuda:0') 118.75 120.0625
tensor(0.6179, device='cuda:0') 118.6875 120.0625
tensor(0.6069, device='cuda:0') 118.6875 120.0
tensor(0.5989, device='cuda:0') 118.625 120.0
tensor(0.5927, device='cuda:0') 118.625 120.0
tensor(0.5843, device='cuda:0') 118.5625 119.9375
