  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.9519, device='cuda:0') 117.0625 119.875
tensor(0.9520, device='cuda:0') 117.0 119.875
tensor(0.9542, device='cuda:0') 117.0 119.8125
tensor(0.9575, device='cuda:0') 116.9375 119.75
tensor(0.9614, device='cuda:0') 116.875 119.625
tensor(0.9669, device='cuda:0') 116.8125 119.5625
tensor(0.9744, device='cuda:0') 116.6875 119.4375
tensor(0.9830, device='cuda:0') 116.625 119.3125
tensor(0.9929, device='cuda:0') 116.5 119.1875
tensor(1.0039, device='cuda:0') 116.4375 119.0625
tensor(1.0168, device='cuda:0') 116.3125 118.875
tensor(1.0286, device='cuda:0') 116.25 118.75
tensor(1.0400, device='cuda:0') 116.125 118.5625
tensor(1.0494, device='cuda:0') 116.0625 118.4375
tensor(1.0536, device='cuda:0') 115.9375 118.3125
tensor(1.0546, device='cuda:0') 115.875 118.1875
tensor(1.0496, device='cuda:0') 115.8125 118.0625
tensor(1.0369, device='cuda:0') 115.75 117.9375
tensor(1.0202, device='cuda:0') 115.6875 117.8125
tensor(0.9961, device='cuda:0') 115.625 117.6875
tensor(0.9703, device='cuda:0') 115.5625 117.5625
tensor(0.9431, device='cuda:0') 115.5 117.5
tensor(0.9151, device='cuda:0') 115.4375 117.375
tensor(0.8871, device='cuda:0') 115.375 117.3125
tensor(0.8610, device='cuda:0') 115.375 117.1875
tensor(0.8383, device='cuda:0') 115.3125 117.125
tensor(0.8185, device='cuda:0') 115.3125 117.0625
tensor(0.8014, device='cuda:0') 115.25 117.0625
tensor(0.7881, device='cuda:0') 115.25 117.0
tensor(0.7772, device='cuda:0') 115.1875 116.9375
tensor(0.7673, device='cuda:0') 115.1875 116.875
tensor(0.7620, device='cuda:0') 115.1875 116.875
tensor(0.7561, device='cuda:0') 115.1875 116.875
tensor(0.7528, device='cuda:0') 115.1875 116.8125
tensor(0.7477, device='cuda:0') 115.125 116.8125
tensor(0.7463, device='cuda:0') 115.125 116.8125
tensor(0.7402, device='cuda:0') 115.125 116.8125
tensor(0.7347, device='cuda:0') 115.125 116.8125
tensor(0.7286, device='cuda:0') 115.125 116.8125
tensor(0.7203, device='cuda:0') 115.125 116.8125
