  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.9240, device='cuda:0') 117.0625 119.875
tensor(0.9242, device='cuda:0') 117.0 119.875
tensor(0.9261, device='cuda:0') 117.0 119.8125
tensor(0.9295, device='cuda:0') 116.9375 119.75
tensor(0.9331, device='cuda:0') 116.875 119.625
tensor(0.9388, device='cuda:0') 116.8125 119.5625
tensor(0.9467, device='cuda:0') 116.6875 119.4375
tensor(0.9566, device='cuda:0') 116.625 119.3125
tensor(0.9682, device='cuda:0') 116.5 119.1875
tensor(0.9827, device='cuda:0') 116.4375 119.0625
tensor(1.0008, device='cuda:0') 116.3125 118.875
tensor(1.0198, device='cuda:0') 116.25 118.75
tensor(1.0421, device='cuda:0') 116.125 118.5625
tensor(1.0663, device='cuda:0') 116.0625 118.4375
tensor(1.0895, device='cuda:0') 115.9375 118.3125
tensor(1.1127, device='cuda:0') 115.875 118.1875
tensor(1.1328, device='cuda:0') 115.8125 118.0625
tensor(1.1477, device='cuda:0') 115.75 117.9375
tensor(1.1558, device='cuda:0') 115.6875 117.8125
tensor(1.1528, device='cuda:0') 115.625 117.6875
tensor(1.1423, device='cuda:0') 115.5625 117.5625
tensor(1.1227, device='cuda:0') 115.5 117.5
tensor(1.0986, device='cuda:0') 115.4375 117.375
tensor(1.0716, device='cuda:0') 115.375 117.3125
tensor(1.0436, device='cuda:0') 115.375 117.1875
tensor(1.0205, device='cuda:0') 115.3125 117.125
tensor(1.0023, device='cuda:0') 115.3125 117.0625
tensor(0.9857, device='cuda:0') 115.25 117.0625
tensor(0.9785, device='cuda:0') 115.25 117.0
tensor(0.9729, device='cuda:0') 115.1875 116.9375
tensor(0.9709, device='cuda:0') 115.1875 116.875
tensor(0.9760, device='cuda:0') 115.1875 116.875
tensor(0.9767, device='cuda:0') 115.1875 116.875
tensor(0.9859, device='cuda:0') 115.1875 116.8125
tensor(0.9890, device='cuda:0') 115.125 116.8125
tensor(0.9971, device='cuda:0') 115.125 116.8125
tensor(0.9957, device='cuda:0') 115.125 116.8125
tensor(0.9948, device='cuda:0') 115.125 116.8125
tensor(0.9951, device='cuda:0') 115.125 116.8125
tensor(0.9969, device='cuda:0') 115.125 116.8125
tensor(0.9901, device='cuda:0') 115.125 116.875
tensor(0.9885, device='cuda:0') 115.125 116.875
tensor(0.9942, device='cuda:0') 115.125 116.875
tensor(0.9977, device='cuda:0') 115.125 116.875
tensor(1.0050, device='cuda:0') 115.125 116.9375
tensor(1.0202, device='cuda:0') 115.125 116.9375
tensor(1.0254, device='cuda:0') 115.125 116.9375
tensor(1.0440, device='cuda:0') 115.125 117.0
tensor(1.0450, device='cuda:0') 115.125 117.0
tensor(1.0455, device='cuda:0') 115.125 117.0
tensor(1.0515, device='cuda:0') 115.125 117.0625
tensor(1.0431, device='cuda:0') 115.125 117.0625
tensor(1.0357, device='cuda:0') 115.125 117.0625
tensor(1.0303, device='cuda:0') 115.125 117.125
tensor(1.0239, device='cuda:0') 115.125 117.125
tensor(1.0152, device='cuda:0') 115.125 117.125
tensor(0.9991, device='cuda:0') 115.125 117.125
tensor(0.9969, device='cuda:0') 115.125 117.1875
tensor(0.9802, device='cuda:0') 115.125 117.1875
tensor(0.9627, device='cuda:0') 115.125 117.1875
tensor(0.9681, device='cuda:0') 115.125 117.1875
tensor(0.9588, device='cuda:0') 115.125 117.1875
tensor(0.9518, device='cuda:0') 115.0625 117.1875
tensor(0.9345, device='cuda:0') 115.0625 117.1875
tensor(0.9284, device='cuda:0') 115.0625 117.1875
tensor(0.9228, device='cuda:0') 115.0625 117.1875
tensor(0.9035, device='cuda:0') 115.0625 117.25
tensor(0.8990, device='cuda:0') 115.0625 117.25
tensor(0.8884, device='cuda:0') 115.0625 117.25
tensor(0.8825, device='cuda:0') 115.0 117.25
tensor(0.8439, device='cuda:0') 115.0 117.25
tensor(0.8204, device='cuda:0') 115.0 117.25
tensor(0.7532, device='cuda:0') 115.0 117.25
tensor(0.7008, device='cuda:0') 115.0 117.25
tensor(0.6919, device='cuda:0') 114.9375 117.25
tensor(0.7692, device='cuda:0') 114.9375 117.25
tensor(0.7873, device='cuda:0') 114.9375 117.1875
tensor(0.7893, device='cuda:0') 114.9375 117.1875
tensor(0.7740, device='cuda:0') 114.9375 117.1875
tensor(0.7704, device='cuda:0') 114.875 117.1875
tensor(0.7413, device='cuda:0') 114.875 117.1875
tensor(0.7323, device='cuda:0') 114.875 117.1875
tensor(0.7059, device='cuda:0') 114.875 117.1875
tensor(0.6790, device='cuda:0') 114.8125 117.1875
tensor(0.6552, device='cuda:0') 114.8125 117.1875
tensor(0.6225, device='cuda:0') 114.8125 117.1875
tensor(0.6021, device='cuda:0') 114.8125 117.1875
tensor(0.5720, device='cuda:0') 114.8125 117.1875
tensor(0.5459, device='cuda:0') 114.8125 117.1875
tensor(0.5452, device='cuda:0') 114.75 117.1875
tensor(0.5284, device='cuda:0') 114.75 117.1875
tensor(0.5122, device='cuda:0') 114.75 117.125
tensor(0.4975, device='cuda:0') 114.75 117.1875
tensor(0.4877, device='cuda:0') 114.75 117.1875
tensor(0.4760, device='cuda:0') 114.75 117.1875
tensor(0.4485, device='cuda:0') 114.75 117.125
tensor(0.3998, device='cuda:0') 114.6875 117.125
  1%|██▌                                                                                                                                                                                                                                                          | 1/100 [00:30<50:57, 30.88s/it]
tensor(0.3070, device='cuda:0') 114.6875 117.125
tensor(0.2194, device='cuda:0') 114.6875 117.125
tensor(0.0971, device='cuda:0') 114.6875 117.125
tensor(0.8471, device='cuda:0') 116.3125 119.5625
tensor(0.8479, device='cuda:0') 116.3125 119.5625
tensor(0.8501, device='cuda:0') 116.25 119.5
tensor(0.8546, device='cuda:0') 116.1875 119.5
tensor(0.8611, device='cuda:0') 116.125 119.4375
tensor(0.8694, device='cuda:0') 116.0625 119.375
tensor(0.8787, device='cuda:0') 116.0 119.3125
tensor(0.8970, device='cuda:0') 115.875 119.1875
tensor(0.9137, device='cuda:0') 115.75 119.125
tensor(0.9310, device='cuda:0') 115.6875 119.0
tensor(0.9454, device='cuda:0') 115.5625 118.9375
tensor(0.9574, device='cuda:0') 115.4375 118.875
tensor(0.9687, device='cuda:0') 115.375 118.75
tensor(0.9775, device='cuda:0') 115.25 118.6875
tensor(0.9870, device='cuda:0') 115.125 118.5625
tensor(0.9980, device='cuda:0') 115.0 118.5
tensor(1.0140, device='cuda:0') 114.9375 118.375
tensor(1.0315, device='cuda:0') 114.8125 118.3125
tensor(1.0169, device='cuda:0') 114.6875 118.1875
tensor(0.9671, device='cuda:0') 114.625 118.125
tensor(0.9222, device='cuda:0') 114.5 118.0
tensor(0.8871, device='cuda:0') 114.375 117.9375
tensor(0.8620, device='cuda:0') 114.3125 117.8125
tensor(0.8454, device='cuda:0') 114.1875 117.75
tensor(0.8321, device='cuda:0') 114.0625 117.6875
tensor(0.8192, device='cuda:0') 114.0 117.625
tensor(0.7899, device='cuda:0') 113.875 117.5
tensor(0.7833, device='cuda:0') 113.75 117.4375
