2024-05-13 15:13:04,948 INFO    StreamThr :1233830 [internal.py:wandb_internal():86] W&B internal server running at pid: 1233830, started at: 2024-05-13 15:13:04.947707
2024-05-13 15:13:04,949 DEBUG   HandlerThread:1233830 [handler.py:handle_request():144] handle_request: status
2024-05-13 15:13:04,952 INFO    WriterThread:1233830 [datastore.py:open_for_write():85] open: /home/icl2/khlee/InstaFlow/code/wandb/run-20240513_151304-lezpr5ug/run-lezpr5ug.wandb
2024-05-13 15:13:04,953 DEBUG   SenderThread:1233830 [sender.py:send():369] send: header
2024-05-13 15:13:04,963 DEBUG   SenderThread:1233830 [sender.py:send():369] send: run
2024-05-13 15:13:05,472 INFO    SenderThread:1233830 [dir_watcher.py:__init__():211] watching files in: /home/icl2/khlee/InstaFlow/code/wandb/run-20240513_151304-lezpr5ug/files
2024-05-13 15:13:05,472 INFO    SenderThread:1233830 [sender.py:_start_run_threads():1100] run started: lezpr5ug with start time 1715580784.945968
2024-05-13 15:13:05,472 DEBUG   SenderThread:1233830 [sender.py:send_request():396] send_request: summary_record
2024-05-13 15:13:05,472 INFO    SenderThread:1233830 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2024-05-13 15:13:05,472 DEBUG   HandlerThread:1233830 [handler.py:handle_request():144] handle_request: check_version
2024-05-13 15:13:05,472 DEBUG   SenderThread:1233830 [sender.py:send_request():396] send_request: check_version
2024-05-13 15:13:05,575 DEBUG   HandlerThread:1233830 [handler.py:handle_request():144] handle_request: run_start
2024-05-13 15:13:05,601 DEBUG   HandlerThread:1233830 [system_info.py:__init__():31] System info init
2024-05-13 15:13:05,601 DEBUG   HandlerThread:1233830 [system_info.py:__init__():46] System info init done
2024-05-13 15:13:05,601 INFO    HandlerThread:1233830 [system_monitor.py:start():181] Starting system monitor
2024-05-13 15:13:05,601 INFO    SystemMonitor:1233830 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-05-13 15:13:05,601 INFO    HandlerThread:1233830 [system_monitor.py:probe():201] Collecting system info
2024-05-13 15:13:05,601 INFO    SystemMonitor:1233830 [interfaces.py:start():190] Started cpu monitoring
2024-05-13 15:13:05,602 INFO    SystemMonitor:1233830 [interfaces.py:start():190] Started disk monitoring
2024-05-13 15:13:05,602 INFO    SystemMonitor:1233830 [interfaces.py:start():190] Started gpu monitoring
2024-05-13 15:13:05,602 INFO    SystemMonitor:1233830 [interfaces.py:start():190] Started memory monitoring
2024-05-13 15:13:05,602 INFO    SystemMonitor:1233830 [interfaces.py:start():190] Started network monitoring
2024-05-13 15:13:05,623 DEBUG   HandlerThread:1233830 [system_info.py:probe():195] Probing system
2024-05-13 15:13:05,624 DEBUG   HandlerThread:1233830 [system_info.py:_probe_git():180] Probing git
2024-05-13 15:13:05,627 DEBUG   HandlerThread:1233830 [system_info.py:_probe_git():188] Probing git done
2024-05-13 15:13:05,627 DEBUG   HandlerThread:1233830 [system_info.py:probe():240] Probing system done
