"original_imagefilepath","recon_imagefilepath","diff_imagefilepath","original_latents_visualizedfilepath","recon_latents_visualizedfilepath","diff_latents_visualizedfilepath","error_TOT","error_OTO","error_middle","output_loss","inf_time","inv_time","seed"
"media/images/99dcac486d384ed90f79.png","media/images/60e2aee656216fbd3017.png","media/images/b02f86682a7700b37bb1.png","media/images/e3cb756eac67808afe5e.png","media/images/eab526014e522c8e3bff.png","media/images/48809dc50bfa04b43a15.png","0.05682628186182015","0.0006188130246018264","0.19106617415180072","0.0000799853223725222","0.5656964778900146","146.72062397003174","0"
"media/images/93284727cb603d75d910.png","media/images/48e3cc8d9bb84c9785ba.png","media/images/fce7d4633d15b6f9df97.png","media/images/2b404c14b07f2c84ee04.png","media/images/a8f8703472eedba9deae.png","media/images/86398cb683346414e2de.png","0.1443515525929806","0.002047535353467648","0.2367563399461723","0.0003825007879640907","0.19486379623413086","147.3503131866455","1"
"media/images/9c4446557d2c1be00639.png","media/images/86bc27ccca6134c5eaa6.png","media/images/c3c85c9a1e7b8a033ef5.png","media/images/4b5518f04efe9d277d3b.png","media/images/2758b84c5801163e6e37.png","media/images/d7c9db3e099129ebc98c.png","0.339888032018397","0.00032443881827293815","0.18435372239424908","0.00008698500460013747","0.19708704948425293","147.2842025756836","2"
"media/images/5fc7261a167ab55f165c.png","media/images/321d90c3d0300ea13f04.png","media/images/028c497890dabdd5ee7c.png","media/images/c7a8b2f4a669c385713f.png","media/images/f26977e28ec25fad30f9.png","media/images/489920d15e4fd2240c45.png","0.04494561638473393","0.0012794319790650388","0.1812057049872715","0.00038313603727146983","0.19449973106384277","147.5680706501007","3"
"media/images/2c38a073b4150c229993.png","media/images/8da177f5b54c7ffa92c2.png","media/images/f6d39f58aca823f7e163.png","media/images/d12d28838e24be05d869.png","media/images/83464a4d9005493d6964.png","media/images/010938ff26e1d350850f.png","0.534221329579637","0.003964921705730256","0.14246289254650524","0.0010433640563860536","0.1958484649658203","146.88009023666382","4"
"media/images/f88a23bc530a15e4d632.png","media/images/c6ca483674a9cd46dc2e.png","media/images/56a1d55168d8860ae6a1.png","media/images/9fdbe90800ba8da32992.png","media/images/68989c206cfbdb191770.png","media/images/2b9116c0b449388896fd.png","0.08451973910212374","0.0031395356201249706","0.29524850466772534","0.00024059937277343124","0.19404315948486328","146.99713945388794","5"
"media/images/bfea7c6b3ad0a9414a4b.png","media/images/61fec8e10612f5992543.png","media/images/17428ae53415010b3969.png","media/images/58457bf6e68103ca12dd.png","media/images/8c9fa4953b4f73f8f623.png","media/images/81fe1d531b7a24bbb941.png","0.3030212834185022","0.00028327201251247163","0.3742309239260635","0.00008746233652345836","0.19326472282409668","147.0409803390503","6"
"media/images/f96c5e91d9947385fc3c.png","media/images/92871b43b9ee32156aea.png","media/images/275abcfe550c33db5d7a.png","media/images/2ddfb996f52509c68020.png","media/images/f593b33fe3dfe2acc24a.png","media/images/d9be3205882cdce14838.png","0.44647493215265754","0.0002810350477068083","0.17787621243834284","0.00011940489639528096","0.19330096244812012","147.24215292930603","7"
"media/images/48e4472bf2af831899e2.png","media/images/8c1cbd615fda71cf4d2b.png","media/images/69e9088167b2d54c0568.png","media/images/3bc46f3456dd59ad418f.png","media/images/745669f365de341c5ed9.png","media/images/871112b1a1d90b9b2147.png","0.20383669415969052","0.0017973498916718932","0.22589783656467777","0.00038760120514780283","0.19296836853027344","146.9555857181549","8"
"media/images/103902bcd199d13eebfe.png","media/images/9153fbf6df0ce25943dc.png","media/images/1e5e4ccf4459ecf18d81.png","media/images/53593b669e26a8d807e9.png","media/images/fa0a6cbf7859a4c73188.png","media/images/105a07dce8777dd2d733.png","0.29805261155856044","0.0009003918367982397","0.2252091665537046","0.00022311892826110125","0.1935737133026123","147.16356682777405","9"
