
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 0, 0.002183574018999934
tuning, 1, 0.0015660114586353302
tuning, 2, 0.0012735439231619239
tuning, 3, 0.0011795535683631897
tuning, 4, 0.0011152245569974184
tuning, 5, 0.0010518929921090603
tuning, 6, 0.0009959476301446557
tuning, 7, 0.0009394820663146675
tuning, 8, 0.0008854514453560114
tuning, 9, 0.000836638908367604
tuning, 10, 0.0007913213921710849
tuning, 11, 0.0007509136921726167
tuning, 12, 0.0007191168842837214
tuning, 13, 0.0006967511726543307
tuning, 14, 0.0006821398856118321
tuning, 15, 0.0006697952630929649
tuning, 16, 0.0006546047516167164
tuning, 17, 0.0006335373036563396

  1%|██▋                                                                                                                                                                                                                                                                           | 1/100 [00:33<55:06, 33.40s/it]
tuning, 19, 0.0005886981380172074
tuning, 0, 0.004846073687076569
tuning, 1, 0.004107403568923473
tuning, 2, 0.0038504903204739094
tuning, 3, 0.0036697830073535442
tuning, 4, 0.003434315323829651
tuning, 5, 0.003193887649103999
tuning, 6, 0.003030308522284031
tuning, 7, 0.0029474382754415274
tuning, 8, 0.002892755903303623
tuning, 9, 0.0028250168543308973
tuning, 10, 0.0027427233289927244
tuning, 11, 0.002664965344592929
tuning, 12, 0.002604987006634474
tuning, 13, 0.0025589969009160995
tuning, 14, 0.00251749693416059
tuning, 15, 0.00247335247695446

  2%|█████▍                                                                                                                                                                                                                                                                        | 2/100 [01:06<53:55, 33.01s/it]
tuning, 17, 0.00236697169020772
tuning, 18, 0.0023104576393961906
tuning, 19, 0.0022579715587198734
tuning, 0, 0.0020908834412693977
tuning, 1, 0.0017234220867976546
tuning, 2, 0.001523342332802713
tuning, 3, 0.0013647489249706268
tuning, 4, 0.0012665851972997189
tuning, 5, 0.0012056129053235054
tuning, 6, 0.0011338976910337806
tuning, 7, 0.0010522836819291115
tuning, 8, 0.0009774274658411741
tuning, 9, 0.0009267723653465509
tuning, 10, 0.0008977238903753459
tuning, 11, 0.0008713556453585625
tuning, 12, 0.0008393198950216174
tuning, 13, 0.0008055715588852763
tuning, 14, 0.0007747204508632421
tuning, 15, 0.0007460971246473491
tuning, 16, 0.0007173290359787643
tuning, 17, 0.0006899134023115039
tuning, 18, 0.0006662128726020455

  3%|████████                                                                                                                                                                                                                                                                      | 3/100 [01:39<53:25, 33.05s/it]
tuning, 0, 0.0058133527636528015
tuning, 1, 0.005355424247682095
tuning, 2, 0.005075094755738974
tuning, 3, 0.0048603275790810585
tuning, 4, 0.004687529988586903
