
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 0, 0.0021850510966032743
tuning, 1, 0.0015687266131862998
tuning, 2, 0.0012743985280394554
tuning, 3, 0.0011785385431721807
tuning, 4, 0.0011145919561386108
tuning, 5, 0.0010512921726331115
tuning, 6, 0.0009951719548553228
tuning, 7, 0.0009392113424837589
tuning, 8, 0.0008854714687913656
tuning, 9, 0.0008369091665372252
tuning, 10, 0.0007921316428110003
tuning, 11, 0.0007519290666095912
tuning, 12, 0.0007198076928034425
tuning, 13, 0.0006974285352043808
tuning, 14, 0.0006827353499829769
tuning, 15, 0.0006703431135974824
tuning, 16, 0.0006552121485583484
tuning, 17, 0.0006340931868180633
tuning, 18, 0.000609742128290236

  1%|██▋                                                                                                                                                                                                                                                                           | 1/100 [00:33<54:37, 33.11s/it]
tuning, 0, 0.004969382658600807
tuning, 1, 0.004148061852902174
tuning, 2, 0.003936224151402712
tuning, 3, 0.0037664955016225576
tuning, 4, 0.003517058677971363
tuning, 5, 0.0032460237853229046
tuning, 6, 0.003056339453905821
tuning, 7, 0.002972093177959323
tuning, 8, 0.002934661228209734
tuning, 9, 0.0028825155459344387
tuning, 10, 0.002799862064421177
tuning, 11, 0.002707652747631073
tuning, 12, 0.0026307886000722647
tuning, 13, 0.002577085280790925
tuning, 14, 0.002537485444918275
tuning, 15, 0.0024997456930577755
tuning, 16, 0.0024565604981034994
tuning, 17, 0.002405296778306365
tuning, 18, 0.0023476574569940567

  2%|█████▍                                                                                                                                                                                                                                                                        | 2/100 [01:05<53:40, 32.86s/it]
tuning, 0, 0.0020908534061163664
tuning, 1, 0.001725042937323451
tuning, 2, 0.0015232762088999152
tuning, 3, 0.0013650218024849892
tuning, 4, 0.0012656401377171278
tuning, 5, 0.0012054414255544543
tuning, 6, 0.0011346623068675399
tuning, 7, 0.001053699292242527
tuning, 8, 0.0009781892877072096
tuning, 9, 0.0009269973961636424
tuning, 10, 0.0008976372773759067
tuning, 11, 0.000871589407324791
tuning, 12, 0.0008393591269850731
tuning, 13, 0.000805212534032762
tuning, 14, 0.0007742386078462005
tuning, 15, 0.0007458478212356567
tuning, 16, 0.0007173173944465816
tuning, 17, 0.0006897817365825176
tuning, 18, 0.0006660057697445154

  3%|████████                                                                                                                                                                                                                                                                      | 3/100 [01:38<53:12, 32.91s/it]
tuning, 0, 0.005818068981170654
tuning, 1, 0.005362856201827526
tuning, 2, 0.005104602314531803
tuning, 3, 0.0048581743612885475
tuning, 4, 0.004706924315541983
tuning, 5, 0.004541998263448477
tuning, 6, 0.0044098347425460815
tuning, 7, 0.004276295192539692
tuning, 8, 0.004163247998803854
tuning, 9, 0.004065279848873615
tuning, 10, 0.003960910253226757
tuning, 11, 0.003872642293572426
tuning, 12, 0.003781872568652034
tuning, 13, 0.0036845249123871326
tuning, 14, 0.0036043054424226284
tuning, 15, 0.0035227048210799694
tuning, 16, 0.0034383079037070274

  4%|██████████▊                                                                                                                                                                                                                                                                   | 4/100 [02:11<52:37, 32.89s/it]
tuning, 18, 0.0032849411945790052
tuning, 19, 0.003213660791516304
tuning, 0, 0.00634553050622344
tuning, 1, 0.005936942994594574
tuning, 2, 0.005522625520825386
tuning, 3, 0.005350848659873009
tuning, 4, 0.005266822874546051
tuning, 5, 0.005091829225420952
tuning, 6, 0.004912033677101135
tuning, 7, 0.00478536169975996
tuning, 8, 0.004679497331380844
tuning, 9, 0.004588460084050894
tuning, 10, 0.004523265175521374
tuning, 11, 0.004463284742087126
tuning, 12, 0.004383072257041931
tuning, 13, 0.004288891330361366
tuning, 14, 0.0042000701650977135
tuning, 15, 0.004122850485146046
tuning, 16, 0.0040592714212834835
tuning, 17, 0.004005786031484604
tuning, 18, 0.003956261556595564
  5%|█████████████▌                                                                                                                                                                                                                                                                | 5/100 [02:44<52:09, 32.94s/it]Token indices sequence length is longer than the specified maximum sequence length for this model (93 > 77). Running this sequence through the model will result in indexing errors
The following part of your input was truncated because CLIP can only handle sequences up to 77 tokens: ['morbacher, female, feminine, art deco, new baroque, intricate linework']
