
  0%|                                                                                                                                                                                                                                                                                                               | 0/10 [00:00<?, ?it/s]
0, 0.1364392638206482
1, 0.1364392638206482
2, 0.12979242205619812
3, 0.11694785207509995
4, 0.09893625229597092
5, 0.07756026834249496
6, 0.055496133863925934
7, 0.03877325356006622
8, 0.02704544924199581
9, 0.019489694386720657
10, 0.01503819227218628
11, 0.012640578672289848
12, 0.011447679251432419
13, 0.010865159332752228
14, 0.010523642413318157
15, 0.010215433314442635
16, 0.009841485880315304
17, 0.009366992861032486
18, 0.008805112913250923
19, 0.008180858567357063
20, 0.007529769092798233
21, 0.006880426779389381
22, 0.006261838134378195
23, 0.005697007291018963
24, 0.0052009387873113155
25, 0.004777958150953054
26, 0.00442539993673563
27, 0.00413664523512125
28, 0.0039021684788167477
29, 0.0037089604884386063
30, 0.0035452793817967176
31, 0.003400778165087104
32, 0.0032659207936376333
33, 0.0031345593743026257
34, 0.003003010293468833
35, 0.0028688632883131504
