
  0%|                                                                                                                                                                                                                                                                                             | 0/1 [00:00<?, ?it/s]
0, 0.1364392638206482
1, 0.1364392638206482
2, 0.12979230284690857
3, 0.11694826930761337
4, 0.09893598407506943
5, 0.07756029814481735
6, 0.05549604445695877
7, 0.0387730710208416
8, 0.02704545669257641
9, 0.01948978565633297
10, 0.015038153156638145
11, 0.012640605680644512
12, 0.011447696946561337
13, 0.01086519192904234
14, 0.010523746721446514
15, 0.010215554386377335
16, 0.009841248393058777
17, 0.00936710275709629
18, 0.00880517065525055
19, 0.008180990815162659
20, 0.007529769092798233
21, 0.006880240049213171
22, 0.006261745002120733
