  0%|                                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.01784961111843586
1, NMSE : 0.017997981980443, lr : 0.005
2, NMSE : 0.01818772591650486, lr : 0.005
3, NMSE : 0.01841874234378338, lr : 0.005
4, NMSE : 0.018690895289182663, lr : 0.005
5, NMSE : 0.01900397427380085, lr : 0.005
6, NMSE : 0.01935788057744503, lr : 0.005
7, NMSE : 0.01975243352353573, lr : 0.005
8, NMSE : 0.020187517628073692, lr : 0.005
9, NMSE : 0.02066296897828579, lr : 0.005
10, NMSE : 0.021178914234042168, lr : 0.005
11, NMSE : 0.022331608459353447, lr : 0.01
12, NMSE : 0.023644279688596725, lr : 0.01
13, NMSE : 0.0251156035810709, lr : 0.01
14, NMSE : 0.02674478106200695, lr : 0.01
15, NMSE : 0.028530575335025787, lr : 0.01
16, NMSE : 0.030472438782453537, lr : 0.01
17, NMSE : 0.03256939351558685, lr : 0.01
18, NMSE : 0.03482075408101082, lr : 0.01
19, NMSE : 0.03722593933343887, lr : 0.01
20, NMSE : 0.03978502005338669, lr : 0.01
21, NMSE : 0.04249716177582741, lr : 0.01
22, NMSE : 0.04536169022321701, lr : 0.01
23, NMSE : 0.04837780445814133, lr : 0.01
24, NMSE : 0.05154412239789963, lr : 0.01
25, NMSE : 0.054860685020685196, lr : 0.01
26, NMSE : 0.05832694098353386, lr : 0.01
27, NMSE : 0.06194251775741577, lr : 0.01
28, NMSE : 0.06570696830749512, lr : 0.01
29, NMSE : 0.06961981952190399, lr : 0.01
30, NMSE : 0.07368071377277374, lr : 0.01
31, NMSE : 0.0778893455862999, lr : 0.01
32, NMSE : 0.08224525302648544, lr : 0.01
33, NMSE : 0.0867481455206871, lr : 0.01
34, NMSE : 0.09139712899923325, lr : 0.01
35, NMSE : 0.09619209915399551, lr : 0.01
36, NMSE : 0.10113334655761719, lr : 0.01
37, NMSE : 0.10622042417526245, lr : 0.01
38, NMSE : 0.11145258694887161, lr : 0.01
39, NMSE : 0.1168292909860611, lr : 0.01
40, NMSE : 0.12235019356012344, lr : 0.01
41, NMSE : 0.12801353633403778, lr : 0.01
42, NMSE : 0.13381940126419067, lr : 0.01
43, NMSE : 0.13976843655109406, lr : 0.01
44, NMSE : 0.14586001634597778, lr : 0.01
45, NMSE : 0.1520925611257553, lr : 0.01
46, NMSE : 0.15846657752990723, lr : 0.01
47, NMSE : 0.16498219966888428, lr : 0.01
48, NMSE : 0.17163898050785065, lr : 0.01
49, NMSE : 0.17843711376190186, lr : 0.01
50, NMSE : 0.1853763610124588, lr : 0.01
51, NMSE : 0.1924562305212021, lr : 0.01
52, NMSE : 0.19967645406723022, lr : 0.01
53, NMSE : 0.20703604817390442, lr : 0.01
54, NMSE : 0.21453337371349335, lr : 0.01
55, NMSE : 0.2221682071685791, lr : 0.01
56, NMSE : 0.22994151711463928, lr : 0.01
57, NMSE : 0.23785406351089478, lr : 0.01
58, NMSE : 0.24590691924095154, lr : 0.01
59, NMSE : 0.25409936904907227, lr : 0.01
60, NMSE : 0.2624291181564331, lr : 0.01
61, NMSE : 0.27089715003967285, lr : 0.01
62, NMSE : 0.2795014977455139, lr : 0.01
63, NMSE : 0.2882416546344757, lr : 0.01
64, NMSE : 0.2971176207065582, lr : 0.01
65, NMSE : 0.3061303198337555, lr : 0.01
66, NMSE : 0.31527838110923767, lr : 0.01
67, NMSE : 0.324562132358551, lr : 0.01
68, NMSE : 0.333981454372406, lr : 0.01
69, NMSE : 0.3435370922088623, lr : 0.01
70, NMSE : 0.3532281517982483, lr : 0.01
71, NMSE : 0.3630543053150177, lr : 0.01
72, NMSE : 0.3730162978172302, lr : 0.01
73, NMSE : 0.3831128180027008, lr : 0.01
74, NMSE : 0.3933435380458832, lr : 0.01
75, NMSE : 0.4037088453769684, lr : 0.01
76, NMSE : 0.41420942544937134, lr : 0.01
77, NMSE : 0.42484357953071594, lr : 0.01
78, NMSE : 0.4356130361557007, lr : 0.01
79, NMSE : 0.4465155601501465, lr : 0.01
80, NMSE : 0.4575507938861847, lr : 0.01
81, NMSE : 0.46871843934059143, lr : 0.01
82, NMSE : 0.4800179898738861, lr : 0.01
83, NMSE : 0.49144983291625977, lr : 0.01
84, NMSE : 0.5030139088630676, lr : 0.01
85, NMSE : 0.5147108435630798, lr : 0.01
86, NMSE : 0.5265407562255859, lr : 0.01
87, NMSE : 0.5385020971298218, lr : 0.01
88, NMSE : 0.55059415102005, lr : 0.01
89, NMSE : 0.5628156065940857, lr : 0.01
90, NMSE : 0.5751659274101257, lr : 0.01
91, NMSE : 0.5876455903053284, lr : 0.01
92, NMSE : 0.6002538800239563, lr : 0.01
93, NMSE : 0.6129916310310364, lr : 0.01
94, NMSE : 0.6258565783500671, lr : 0.01
95, NMSE : 0.6388497352600098, lr : 0.01
96, NMSE : 0.6519720554351807, lr : 0.01
97, NMSE : 0.6652224063873291, lr : 0.01
98, NMSE : 0.6786030530929565, lr : 0.01
99, NMSE : 0.6921112537384033, lr : 0.01
100, NMSE : 0.7057481408119202, lr : 0.01
0 1.5359063148498535 0.05 4.73281717300415
1 1.3529365062713623 0.05 3.672358989715576
