
  0%|                                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
0, 0.11795955151319504, NMSE : 0.8562605076462013
1, 0.11795955151319504, NMSE : 0.8407510423610098
2, 0.11513954401016235, NMSE : 0.8104862608912669
3, 0.1095847487449646, NMSE : 0.7669821280798352
4, 0.10147615522146225, NMSE : 0.7125061155439063
5, 0.09112787246704102, NMSE : 0.6500663202878201
6, 0.07902674376964569, NMSE : 0.5833308405950142
7, 0.06585967540740967, NMSE : 0.5164506024152757
8, 0.052525606006383896, NMSE : 0.4536112441666127
9, 0.04005243256688118, NMSE : 0.39826020049305555
10, 0.02941679209470749, NMSE : 0.3524495308328177
11, 0.021304797381162643, NMSE : 0.31914141739618174
12, 0.016283947974443436, NMSE : 0.2946357971707272
13, 0.013448412530124187, NMSE : 0.276157015144296
14, 0.012003205716609955, NMSE : 0.26176251096332237
15, 0.011347316205501556, NMSE : 0.25012417188989744
16, 0.011070361360907555, NMSE : 0.24035332374840923
17, 0.01091508474200964, NMSE : 0.2318797617124666
18, 0.010733893141150475, NMSE : 0.22436971154776586
19, 0.010455447249114513, NMSE : 0.21765924610026932
20, 0.01005539670586586, NMSE : 0.21169691446616756
21, 0.009540537372231483, NMSE : 0.20649843050989958
22, 0.00893297791481018, NMSE : 0.2021104518246517
23, 0.008262388408184052, NMSE : 0.1985842500176318
24, 0.007562367245554924, NMSE : 0.19595539873416
25, 0.0068643465638160706, NMSE : 0.19422862110651806
26, 0.00619523786008358, NMSE : 0.19336980170772122
27, 0.005577289965003729, NMSE : 0.1933039404630401
28, 0.0050241076387465, NMSE : 0.19391937914215251
29, 0.004542948678135872, NMSE : 0.19507578540365333
30, 0.00413538608700037, NMSE : 0.19661473556610432
31, 0.00379779189825058, NMSE : 0.1983711246775819
32, 0.0035222042351961136, NMSE : 0.20018449731182741
33, 0.003298901952803135, NMSE : 0.20190939577762723
34, 0.0031169522553682327, NMSE : 0.20342283303815467
35, 0.002965131774544716, NMSE : 0.20462927679750464
36, 0.0028339147102087736, NMSE : 0.20546257098007814
37, 0.002715217648074031, NMSE : 0.2058857759308843
38, 0.0026025515981018543, NMSE : 0.20588899434507457
39, 0.002492018509656191, NMSE : 0.2054853474320959
40, 0.002381471451371908, NMSE : 0.2047061547823228
41, 0.002270103432238102, NMSE : 0.2035954324938416
42, 0.002158281859010458, NMSE : 0.20220489294166555
43, 0.0020473208278417587, NMSE : 0.200588805992866
44, 0.0019385995110496879, NMSE : 0.19880075861554136
45, 0.0018335410859435797, NMSE : 0.1968908087324195
46, 0.0017337105236947536, NMSE : 0.19490391571983512
47, 0.0016400215681642294, NMSE : 0.19287900837693517
