
  0%|                                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/diffusers/image_processor.py:97: RuntimeWarning: invalid value encountered in cast
  images = (images * 255).round().astype("uint8")
/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
Backend QtAgg is interactive backend. Turning interactive mode on.
start, NMSE : nan
1, NMSE : nan, lr : 0.010000000000000002
2, NMSE : nan, lr : 0.020000000000000004
3, NMSE : nan, lr : 0.03
4, NMSE : nan, lr : 0.04000000000000001
5, NMSE : nan, lr : 0.05
6, NMSE : nan, lr : 0.06
7, NMSE : nan, lr : 0.06999999999999999
8, NMSE : nan, lr : 0.08000000000000002
9, NMSE : nan, lr : 0.09000000000000001
10, NMSE : nan, lr : 0.1
11, NMSE : nan, lr : 0.1
12, NMSE : nan, lr : 0.0999695413509548
13, NMSE : nan, lr : 0.09987820251299122
14, NMSE : nan, lr : 0.09972609476841367
15, NMSE : nan, lr : 0.09951340343707853
16, NMSE : nan, lr : 0.09924038765061041
17, NMSE : nan, lr : 0.09890738003669029
18, NMSE : nan, lr : 0.09851478631379983
19, NMSE : nan, lr : 0.09806308479691594
20, NMSE : nan, lr : 0.09755282581475769
21, NMSE : nan, lr : 0.09698463103929543
22, NMSE : nan, lr : 0.09635919272833937
23, NMSE : nan, lr : 0.09567727288213004
24, NMSE : nan, lr : 0.09493970231495835
25, NMSE : nan, lr : 0.09414737964294635
26, NMSE : nan, lr : 0.09330127018922195
27, NMSE : nan, lr : 0.0924024048078213
28, NMSE : nan, lr : 0.09145187862775209
29, NMSE : nan, lr : 0.09045084971874738
30, NMSE : nan, lr : 0.08940053768033611
31, NMSE : nan, lr : 0.0883022221559489
32, NMSE : nan, lr : 0.08715724127386971
33, NMSE : nan, lr : 0.08596699001693256
34, NMSE : nan, lr : 0.08473291852294987
35, NMSE : nan, lr : 0.08345653031794292
36, NMSE : nan, lr : 0.08213938048432697
37, NMSE : nan, lr : 0.08078307376628291
38, NMSE : nan, lr : 0.07938926261462366
39, NMSE : nan, lr : 0.07795964517353735
40, NMSE : nan, lr : 0.07649596321166025
41, NMSE : nan, lr : 0.07500000000000001
42, NMSE : nan, lr : 0.07347357813929455
43, NMSE : nan, lr : 0.07191855733945388
44, NMSE : nan, lr : 0.07033683215379001
45, NMSE : nan, lr : 0.0687303296707956
46, NMSE : nan, lr : 0.06710100716628345
47, NMSE : nan, lr : 0.06545084971874737
48, NMSE : nan, lr : 0.06378186779084996
49, NMSE : nan, lr : 0.062096094779983395
50, NMSE : nan, lr : 0.060395584540887975
51, NMSE : nan, lr : 0.058682408883346526
52, NMSE : nan, lr : 0.056958655048003286
53, NMSE : nan, lr : 0.05522642316338268
54, NMSE : nan, lr : 0.053487823687206275
55, NMSE : nan, lr : 0.05174497483512506
56, NMSE : nan, lr : 0.05
57, NMSE : nan, lr : 0.04825502516487497
58, NMSE : nan, lr : 0.04651217631279374
59, NMSE : nan, lr : 0.04477357683661734
60, NMSE : nan, lr : 0.043041344951996734
61, NMSE : nan, lr : 0.041317591116653486
62, NMSE : nan, lr : 0.039604415459112044
63, NMSE : nan, lr : 0.03790390522001661
64, NMSE : nan, lr : 0.036218132209150045
65, NMSE : nan, lr : 0.03454915028125263
66, NMSE : nan, lr : 0.03289899283371657
67, NMSE : nan, lr : 0.0312696703292044
68, NMSE : nan, lr : 0.02966316784621
69, NMSE : nan, lr : 0.028081442660546126
70, NMSE : nan, lr : 0.026526421860705474
71, NMSE : nan, lr : 0.025000000000000012
72, NMSE : nan, lr : 0.02350403678833976
73, NMSE : nan, lr : 0.022040354826462667
74, NMSE : nan, lr : 0.02061073738537635
75, NMSE : nan, lr : 0.019216926233717086
76, NMSE : nan, lr : 0.017860619515673033
77, NMSE : nan, lr : 0.01654346968205709
78, NMSE : nan, lr : 0.01526708147705015
79, NMSE : nan, lr : 0.01403300998306744
80, NMSE : nan, lr : 0.0128427587261303
81, NMSE : nan, lr : 0.011697777844051106
82, NMSE : nan, lr : 0.010599462319663905
83, NMSE : nan, lr : 0.009549150281252633
84, NMSE : nan, lr : 0.008548121372247919
85, NMSE : nan, lr : 0.007597595192178702
86, NMSE : nan, lr : 0.006698729810778065
87, NMSE : nan, lr : 0.005852620357053662
88, NMSE : nan, lr : 0.0050602976850416485
89, NMSE : nan, lr : 0.004322727117869962
90, NMSE : nan, lr : 0.0036408072716606343
91, NMSE : nan, lr : 0.0030153689607045845
92, NMSE : nan, lr : 0.0024471741852423235
93, NMSE : nan, lr : 0.0019369152030840665
94, NMSE : nan, lr : 0.0014852136862001765
  0%|                                                                                                                                                                                                                                                                                       | 0/1 [01:48<?, ?it/s]
95, NMSE : nan, lr : 0.0010926199633097156
96, NMSE : nan, lr : 0.0007596123493895991
97, NMSE : nan, lr : 0.0004865965629214875
98, NMSE : nan, lr : 0.0002739052315863355
99, NMSE : nan, lr : 0.00012179748700879012
