  0%|                                                                                                                                                                                                                                                                                                                   | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1, NMSE : 0.0177154541015625, lr : 0.0001
2, NMSE : 0.0177154541015625, lr : 0.0002
3, NMSE : 0.0177154541015625, lr : 0.0003
4, NMSE : 0.017730712890625, lr : 0.0004
5, NMSE : 0.0177459716796875, lr : 0.0005
6, NMSE : 0.017791748046875, lr : 0.0006
7, NMSE : 0.017822265625, lr : 0.0007
8, NMSE : 0.01788330078125, lr : 0.0008
9, NMSE : 0.017974853515625, lr : 0.0009000000000000001
10, NMSE : 0.01806640625, lr : 0.001
11, NMSE : 0.0181884765625, lr : 0.001
12, NMSE : 0.0183258056640625, lr : 0.0009996954135095479
13, NMSE : 0.0184783935546875, lr : 0.0009987820251299122
14, NMSE : 0.0186309814453125, lr : 0.0009972609476841367
15, NMSE : 0.0188140869140625, lr : 0.0009951340343707852
16, NMSE : 0.019012451171875, lr : 0.000992403876506104
17, NMSE : 0.01922607421875, lr : 0.0009890738003669028
18, NMSE : 0.0194549560546875, lr : 0.0009851478631379982
19, NMSE : 0.019683837890625, lr : 0.0009806308479691594
20, NMSE : 0.0199432373046875, lr : 0.0009755282581475768
21, NMSE : 0.0202178955078125, lr : 0.0009698463103929542
22, NMSE : 0.0204925537109375, lr : 0.0009635919272833937
23, NMSE : 0.0207672119140625, lr : 0.0009567727288213005
24, NMSE : 0.021087646484375, lr : 0.0009493970231495835
25, NMSE : 0.021392822265625, lr : 0.0009414737964294635
26, NMSE : 0.0217132568359375, lr : 0.0009330127018922195
27, NMSE : 0.02203369140625, lr : 0.0009240240480782129
28, NMSE : 0.022369384765625, lr : 0.0009145187862775209
29, NMSE : 0.0227203369140625, lr : 0.0009045084971874737
30, NMSE : 0.0230712890625, lr : 0.000894005376803361
31, NMSE : 0.0234375, lr : 0.000883022221559489
32, NMSE : 0.0238189697265625, lr : 0.0008715724127386971
33, NMSE : 0.024200439453125, lr : 0.0008596699001693256
34, NMSE : 0.0245819091796875, lr : 0.0008473291852294987
35, NMSE : 0.0249786376953125, lr : 0.0008345653031794292
36, NMSE : 0.025390625, lr : 0.0008213938048432696
37, NMSE : 0.0258026123046875, lr : 0.0008078307376628291
38, NMSE : 0.0261993408203125, lr : 0.0007938926261462366
39, NMSE : 0.0265960693359375, lr : 0.0007795964517353734
40, NMSE : 0.0269927978515625, lr : 0.0007649596321166025
41, NMSE : 0.02740478515625, lr : 0.00075
42, NMSE : 0.027801513671875, lr : 0.0007347357813929454
43, NMSE : 0.0282135009765625, lr : 0.0007191855733945387
44, NMSE : 0.0286407470703125, lr : 0.0007033683215379
45, NMSE : 0.0290069580078125, lr : 0.000687303296707956
46, NMSE : 0.0294189453125, lr : 0.0006710100716628344
47, NMSE : 0.0298004150390625, lr : 0.0006545084971874737
48, NMSE : 0.030181884765625, lr : 0.0006378186779084996
49, NMSE : 0.0305633544921875, lr : 0.0006209609477998339
50, NMSE : 0.03094482421875, lr : 0.0006039558454088797
51, NMSE : 0.03131103515625, lr : 0.0005868240888334653
52, NMSE : 0.03167724609375, lr : 0.0005695865504800328
53, NMSE : 0.03204345703125, lr : 0.0005522642316338268
54, NMSE : 0.032379150390625, lr : 0.0005348782368720627
55, NMSE : 0.032745361328125, lr : 0.0005174497483512506
56, NMSE : 0.033050537109375, lr : 0.0005
57, NMSE : 0.03338623046875, lr : 0.0004825502516487497
58, NMSE : 0.03369140625, lr : 0.00046512176312793734
59, NMSE : 0.034027099609375, lr : 0.00044773576836617336
60, NMSE : 0.034332275390625, lr : 0.0004304134495199673
61, NMSE : 0.034637451171875, lr : 0.00041317591116653486
62, NMSE : 0.034881591796875, lr : 0.0003960441545911204
63, NMSE : 0.035186767578125, lr : 0.0003790390522001661
64, NMSE : 0.03546142578125, lr : 0.00036218132209150044
65, NMSE : 0.0357666015625, lr : 0.00034549150281252633
66, NMSE : 0.036041259765625, lr : 0.0003289899283371657
67, NMSE : 0.036224365234375, lr : 0.00031269670329204396
68, NMSE : 0.03643798828125, lr : 0.0002966316784621
69, NMSE : 0.036651611328125, lr : 0.00028081442660546124
70, NMSE : 0.036865234375, lr : 0.00026526421860705474
71, NMSE : 0.037017822265625, lr : 0.0002500000000000001
72, NMSE : 0.0372314453125, lr : 0.0002350403678833976
73, NMSE : 0.037384033203125, lr : 0.00022040354826462666
74, NMSE : 0.0374755859375, lr : 0.00020610737385376348
75, NMSE : 0.03765869140625, lr : 0.00019216926233717085
76, NMSE : 0.037811279296875, lr : 0.0001786061951567303
77, NMSE : 0.037933349609375, lr : 0.0001654346968205709
78, NMSE : 0.03802490234375, lr : 0.0001526708147705015
79, NMSE : 0.03814697265625, lr : 0.00014033009983067441
80, NMSE : 0.038238525390625, lr : 0.000128427587261303
81, NMSE : 0.038299560546875, lr : 0.00011697777844051105
82, NMSE : 0.038330078125, lr : 0.00010599462319663906
83, NMSE : 0.03839111328125, lr : 9.549150281252633e-05
84, NMSE : 0.0384521484375, lr : 8.548121372247918e-05
85, NMSE : 0.0384521484375, lr : 7.597595192178702e-05
86, NMSE : 0.0384521484375, lr : 6.698729810778065e-05
87, NMSE : 0.038482666015625, lr : 5.8526203570536616e-05
88, NMSE : 0.038482666015625, lr : 5.060297685041648e-05
89, NMSE : 0.038482666015625, lr : 4.3227271178699624e-05
90, NMSE : 0.038482666015625, lr : 3.6408072716606344e-05
91, NMSE : 0.038482666015625, lr : 3.0153689607045842e-05
92, NMSE : 0.038482666015625, lr : 2.4471741852423235e-05
93, NMSE : 0.038482666015625, lr : 1.9369152030840666e-05
94, NMSE : 0.038482666015625, lr : 1.4852136862001764e-05
95, NMSE : 0.038482666015625, lr : 1.0926199633097156e-05
96, NMSE : 0.038482666015625, lr : 7.59612349389599e-06
97, NMSE : 0.038482666015625, lr : 4.865965629214875e-06
98, NMSE : 0.038482666015625, lr : 2.739052315863355e-06
99, NMSE : 0.038482666015625, lr : 1.2179748700879012e-06
100, NMSE : 0.038482666015625, lr : 3.0458649045211895e-07
inversion time : 6.039416790008545
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:08<00:00,  8.04s/it]
