
  0%|                                                                                                                                                                                                                                                                                                                   | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1-1, NMSE : 0.0176849365234375, lr : 0.002
	1-2, NMSE : 0.0176849365234375, lr : 0.001
2-1, NMSE : 0.0175933837890625, lr : 0.004
	2-2, NMSE : 0.0175933837890625, lr : 0.001
3-1, NMSE : 0.0174407958984375, lr : 0.006
	3-2, NMSE : 0.0174407958984375, lr : 0.001
4-1, NMSE : 0.0172576904296875, lr : 0.008
	4-2, NMSE : 0.0172576904296875, lr : 0.001
5-1, NMSE : 0.01702880859375, lr : 0.01
	5-2, NMSE : 0.017059326171875, lr : 0.001
6-1, NMSE : 0.0167694091796875, lr : 0.012
	6-2, NMSE : 0.01678466796875, lr : 0.001
7-1, NMSE : 0.0164794921875, lr : 0.013999999999999999
	7-2, NMSE : 0.0164794921875, lr : 0.001
8-1, NMSE : 0.016143798828125, lr : 0.016
	8-2, NMSE : 0.016143798828125, lr : 0.001
9-1, NMSE : 0.0157623291015625, lr : 0.018000000000000002
	9-2, NMSE : 0.015777587890625, lr : 0.001
10-1, NMSE : 0.0153656005859375, lr : 0.02
	10-2, NMSE : 0.0153656005859375, lr : 0.001
11-1, NMSE : 0.014984130859375, lr : 0.02
	11-2, NMSE : 0.014984130859375, lr : 0.001
12-1, NMSE : 0.014617919921875, lr : 0.019993908270190958
	12-2, NMSE : 0.014617919921875, lr : 0.001
13-1, NMSE : 0.014251708984375, lr : 0.019975640502598244
	13-2, NMSE : 0.014251708984375, lr : 0.001
14-1, NMSE : 0.013916015625, lr : 0.019945218953682734
	14-2, NMSE : 0.013916015625, lr : 0.001
15-1, NMSE : 0.01357269287109375, lr : 0.019902680687415703
	15-2, NMSE : 0.0135955810546875, lr : 0.001
16-1, NMSE : 0.0132598876953125, lr : 0.01984807753012208
	16-2, NMSE : 0.01328277587890625, lr : 0.001
17-1, NMSE : 0.01296234130859375, lr : 0.019781476007338056
	17-2, NMSE : 0.0129852294921875, lr : 0.001
18-1, NMSE : 0.01267242431640625, lr : 0.019702957262759963
	18-2, NMSE : 0.01268768310546875, lr : 0.001
19-1, NMSE : 0.01239013671875, lr : 0.01961261695938319
	19-2, NMSE : 0.01241302490234375, lr : 0.001
20-1, NMSE : 0.01214599609375, lr : 0.019510565162951538
	20-2, NMSE : 0.01214599609375, lr : 0.001
21-1, NMSE : 0.011871337890625, lr : 0.019396926207859086
	21-2, NMSE : 0.0118865966796875, lr : 0.001
22-1, NMSE : 0.011627197265625, lr : 0.019271838545667875
	22-2, NMSE : 0.011627197265625, lr : 0.001
23-1, NMSE : 0.0113983154296875, lr : 0.019135454576426007
	23-2, NMSE : 0.0113983154296875, lr : 0.001
24-1, NMSE : 0.01116943359375, lr : 0.01898794046299167
	24-2, NMSE : 0.0111846923828125, lr : 0.001
25-1, NMSE : 0.010955810546875, lr : 0.01882947592858927
	25-2, NMSE : 0.010955810546875, lr : 0.001
26-1, NMSE : 0.0107421875, lr : 0.01866025403784439
	26-2, NMSE : 0.01074981689453125, lr : 0.001
27-1, NMSE : 0.0105438232421875, lr : 0.01848048096156426
	27-2, NMSE : 0.01055145263671875, lr : 0.001
28-1, NMSE : 0.010345458984375, lr : 0.018290375725550416
	28-2, NMSE : 0.0103607177734375, lr : 0.001
29-1, NMSE : 0.01016998291015625, lr : 0.018090169943749474
	29-2, NMSE : 0.01018524169921875, lr : 0.001
30-1, NMSE : 0.0099945068359375, lr : 0.01788010753606722
	30-2, NMSE : 0.01000213623046875, lr : 0.001
31-1, NMSE : 0.00982666015625, lr : 0.01766044443118978
	31-2, NMSE : 0.0098419189453125, lr : 0.001
32-1, NMSE : 0.00966644287109375, lr : 0.017431448254773944
	32-2, NMSE : 0.00968170166015625, lr : 0.001
33-1, NMSE : 0.009521484375, lr : 0.017193398003386512
	33-2, NMSE : 0.009521484375, lr : 0.001
34-1, NMSE : 0.009368896484375, lr : 0.016946583704589974
	34-2, NMSE : 0.009368896484375, lr : 0.001
35-1, NMSE : 0.0092315673828125, lr : 0.016691306063588582
	35-2, NMSE : 0.00923919677734375, lr : 0.001
36-1, NMSE : 0.00910186767578125, lr : 0.01642787609686539
	36-2, NMSE : 0.0091094970703125, lr : 0.001
37-1, NMSE : 0.00896453857421875, lr : 0.016156614753256582
	37-2, NMSE : 0.00897979736328125, lr : 0.001
38-1, NMSE : 0.00885009765625, lr : 0.015877852522924733
	38-2, NMSE : 0.0088653564453125, lr : 0.001
39-1, NMSE : 0.00873565673828125, lr : 0.015591929034707469
	39-2, NMSE : 0.00875091552734375, lr : 0.001
40-1, NMSE : 0.0086212158203125, lr : 0.01529919264233205
	40-2, NMSE : 0.008636474609375, lr : 0.001
41-1, NMSE : 0.00852203369140625, lr : 0.015
	41-2, NMSE : 0.0085296630859375, lr : 0.001
42-1, NMSE : 0.0084228515625, lr : 0.014694715627858908
	42-2, NMSE : 0.00843048095703125, lr : 0.001
43-1, NMSE : 0.00832366943359375, lr : 0.014383711467890775
	43-2, NMSE : 0.008331298828125, lr : 0.001
44-1, NMSE : 0.00823211669921875, lr : 0.014067366430758002
	44-2, NMSE : 0.00824737548828125, lr : 0.001
45-1, NMSE : 0.008148193359375, lr : 0.01374606593415912
	45-2, NMSE : 0.0081634521484375, lr : 0.001
46-1, NMSE : 0.008056640625, lr : 0.013420201433256689
	46-2, NMSE : 0.0080718994140625, lr : 0.001
47-1, NMSE : 0.00798797607421875, lr : 0.013090169943749475
	47-2, NMSE : 0.00799560546875, lr : 0.001
48-1, NMSE : 0.0079193115234375, lr : 0.01275637355816999
	48-2, NMSE : 0.00792694091796875, lr : 0.001
49-1, NMSE : 0.007843017578125, lr : 0.012419218955996679
	49-2, NMSE : 0.0078582763671875, lr : 0.001
50-1, NMSE : 0.007785797119140625, lr : 0.012079116908177595
	50-2, NMSE : 0.007793426513671875, lr : 0.001
51-1, NMSE : 0.00771331787109375, lr : 0.011736481776669305
	51-2, NMSE : 0.007720947265625, lr : 0.001
52-1, NMSE : 0.007663726806640625, lr : 0.011391731009600656
	52-2, NMSE : 0.0076751708984375, lr : 0.001
53-1, NMSE : 0.007602691650390625, lr : 0.011045284632676535
	53-2, NMSE : 0.007617950439453125, lr : 0.001
54-1, NMSE : 0.007556915283203125, lr : 0.010697564737441254
	54-2, NMSE : 0.007568359375, lr : 0.001
55-1, NMSE : 0.00750732421875, lr : 0.010348994967025012
	55-2, NMSE : 0.0075225830078125, lr : 0.001
56-1, NMSE : 0.0074615478515625, lr : 0.01
	56-2, NMSE : 0.007472991943359375, lr : 0.001
57-1, NMSE : 0.007411956787109375, lr : 0.009651005032974993
	57-2, NMSE : 0.007427215576171875, lr : 0.001
58-1, NMSE : 0.00737762451171875, lr : 0.009302435262558747
	58-2, NMSE : 0.007389068603515625, lr : 0.001
59-1, NMSE : 0.00733184814453125, lr : 0.008954715367323467
	59-2, NMSE : 0.00734710693359375, lr : 0.001
60-1, NMSE : 0.0073089599609375, lr : 0.008608268990399346
	60-2, NMSE : 0.007320404052734375, lr : 0.001
61-1, NMSE : 0.007274627685546875, lr : 0.008263518223330697
	61-2, NMSE : 0.007282257080078125, lr : 0.001
62-1, NMSE : 0.007251739501953125, lr : 0.00792088309182241
	62-2, NMSE : 0.007259368896484375, lr : 0.001
63-1, NMSE : 0.0072174072265625, lr : 0.007580781044003322
	63-2, NMSE : 0.00724029541015625, lr : 0.001
64-1, NMSE : 0.00719451904296875, lr : 0.007243626441830009
	64-2, NMSE : 0.0072174072265625, lr : 0.001
65-1, NMSE : 0.00717926025390625, lr : 0.006909830056250526
	65-2, NMSE : 0.00719451904296875, lr : 0.001
