
  0%|                                                                                                                                                                                                                                                                                                                   | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1-1, NMSE : 0.0176849365234375, lr : 0.002
	1-2, NMSE : 0.0176849365234375, lr : 0.002
2-1, NMSE : 0.0175933837890625, lr : 0.004
	2-2, NMSE : 0.0176239013671875, lr : 0.004
3-1, NMSE : 0.017486572265625, lr : 0.006
	3-2, NMSE : 0.017547607421875, lr : 0.006
4-1, NMSE : 0.017333984375, lr : 0.008
	4-2, NMSE : 0.017425537109375, lr : 0.008
5-1, NMSE : 0.0171966552734375, lr : 0.01
	5-2, NMSE : 0.017303466796875, lr : 0.01
6-1, NMSE : 0.01702880859375, lr : 0.012
	6-2, NMSE : 0.0171966552734375, lr : 0.012
7-1, NMSE : 0.016876220703125, lr : 0.013999999999999999
	7-2, NMSE : 0.01708984375, lr : 0.013999999999999999
8-1, NMSE : 0.0167236328125, lr : 0.016
	8-2, NMSE : 0.01702880859375, lr : 0.016
9-1, NMSE : 0.016632080078125, lr : 0.018000000000000002
	9-2, NMSE : 0.0170135498046875, lr : 0.018000000000000002
10-1, NMSE : 0.0165863037109375, lr : 0.02
	10-2, NMSE : 0.0170745849609375, lr : 0.02
11-1, NMSE : 0.0166473388671875, lr : 0.02
	11-2, NMSE : 0.0171966552734375, lr : 0.02
12-1, NMSE : 0.0167694091796875, lr : 0.019993908270190958
	12-2, NMSE : 0.01739501953125, lr : 0.019993908270190958
13-1, NMSE : 0.0169525146484375, lr : 0.019975640502598244
	13-2, NMSE : 0.017669677734375, lr : 0.019975640502598244
14-1, NMSE : 0.0172119140625, lr : 0.019945218953682734
	14-2, NMSE : 0.017974853515625, lr : 0.019945218953682734
15-1, NMSE : 0.017547607421875, lr : 0.019902680687415703
	15-2, NMSE : 0.0183563232421875, lr : 0.019902680687415703
16-1, NMSE : 0.0179290771484375, lr : 0.01984807753012208
	16-2, NMSE : 0.0187835693359375, lr : 0.01984807753012208
17-1, NMSE : 0.018341064453125, lr : 0.019781476007338056
	17-2, NMSE : 0.0192718505859375, lr : 0.019781476007338056
18-1, NMSE : 0.0188140869140625, lr : 0.019702957262759963
	18-2, NMSE : 0.0197906494140625, lr : 0.019702957262759963
19-1, NMSE : 0.0193328857421875, lr : 0.01961261695938319
	19-2, NMSE : 0.0203704833984375, lr : 0.01961261695938319
20-1, NMSE : 0.0199127197265625, lr : 0.019510565162951538
	20-2, NMSE : 0.02099609375, lr : 0.019510565162951538
21-1, NMSE : 0.0204925537109375, lr : 0.019396926207859086
	21-2, NMSE : 0.0216827392578125, lr : 0.019396926207859086
22-1, NMSE : 0.0211639404296875, lr : 0.019271838545667875
	22-2, NMSE : 0.022369384765625, lr : 0.019271838545667875
23-1, NMSE : 0.0218353271484375, lr : 0.019135454576426007
	23-2, NMSE : 0.0230712890625, lr : 0.019135454576426007
24-1, NMSE : 0.0225372314453125, lr : 0.01898794046299167
	24-2, NMSE : 0.0238189697265625, lr : 0.01898794046299167
25-1, NMSE : 0.023284912109375, lr : 0.01882947592858927
	25-2, NMSE : 0.024627685546875, lr : 0.01882947592858927
26-1, NMSE : 0.024017333984375, lr : 0.01866025403784439
	26-2, NMSE : 0.025390625, lr : 0.01866025403784439
27-1, NMSE : 0.024810791015625, lr : 0.01848048096156426
	27-2, NMSE : 0.0262298583984375, lr : 0.01848048096156426
28-1, NMSE : 0.0256195068359375, lr : 0.018290375725550416
	28-2, NMSE : 0.027069091796875, lr : 0.018290375725550416
29-1, NMSE : 0.0264129638671875, lr : 0.018090169943749474
	29-2, NMSE : 0.02789306640625, lr : 0.018090169943749474
30-1, NMSE : 0.0272674560546875, lr : 0.01788010753606722
	30-2, NMSE : 0.028778076171875, lr : 0.01788010753606722
31-1, NMSE : 0.0280914306640625, lr : 0.01766044443118978
	31-2, NMSE : 0.0296173095703125, lr : 0.01766044443118978
32-1, NMSE : 0.028961181640625, lr : 0.017431448254773944
	32-2, NMSE : 0.0305023193359375, lr : 0.017431448254773944
33-1, NMSE : 0.0298004150390625, lr : 0.017193398003386512
	33-2, NMSE : 0.0313720703125, lr : 0.017193398003386512
34-1, NMSE : 0.0306549072265625, lr : 0.016946583704589974
	34-2, NMSE : 0.0322265625, lr : 0.016946583704589974
35-1, NMSE : 0.031524658203125, lr : 0.016691306063588582
	35-2, NMSE : 0.0330810546875, lr : 0.016691306063588582
36-1, NMSE : 0.0323486328125, lr : 0.01642787609686539
	36-2, NMSE : 0.033966064453125, lr : 0.01642787609686539
37-1, NMSE : 0.033233642578125, lr : 0.016156614753256582
	37-2, NMSE : 0.03485107421875, lr : 0.016156614753256582
38-1, NMSE : 0.034088134765625, lr : 0.015877852522924733
	38-2, NMSE : 0.03570556640625, lr : 0.015877852522924733
39-1, NMSE : 0.034942626953125, lr : 0.015591929034707469
	39-2, NMSE : 0.03656005859375, lr : 0.015591929034707469
40-1, NMSE : 0.03582763671875, lr : 0.01529919264233205
	40-2, NMSE : 0.037384033203125, lr : 0.01529919264233205
41-1, NMSE : 0.036651611328125, lr : 0.015
	41-2, NMSE : 0.038238525390625, lr : 0.015
42-1, NMSE : 0.037445068359375, lr : 0.014694715627858908
	42-2, NMSE : 0.0390625, lr : 0.014694715627858908
43-1, NMSE : 0.038299560546875, lr : 0.014383711467890775
	43-2, NMSE : 0.03985595703125, lr : 0.014383711467890775
44-1, NMSE : 0.039093017578125, lr : 0.014067366430758002
	44-2, NMSE : 0.040679931640625, lr : 0.014067366430758002
45-1, NMSE : 0.0399169921875, lr : 0.01374606593415912
	45-2, NMSE : 0.04144287109375, lr : 0.01374606593415912
46-1, NMSE : 0.040679931640625, lr : 0.013420201433256689
	46-2, NMSE : 0.04217529296875, lr : 0.013420201433256689
47-1, NMSE : 0.04144287109375, lr : 0.013090169943749475
	47-2, NMSE : 0.04290771484375, lr : 0.013090169943749475
48-1, NMSE : 0.04217529296875, lr : 0.01275637355816999
	48-2, NMSE : 0.043670654296875, lr : 0.01275637355816999
49-1, NMSE : 0.04290771484375, lr : 0.012419218955996679
	49-2, NMSE : 0.044342041015625, lr : 0.012419218955996679
50-1, NMSE : 0.0435791015625, lr : 0.012079116908177595
	50-2, NMSE : 0.045074462890625, lr : 0.012079116908177595
51-1, NMSE : 0.044342041015625, lr : 0.011736481776669305
	51-2, NMSE : 0.04571533203125, lr : 0.011736481776669305
52-1, NMSE : 0.0450439453125, lr : 0.011391731009600656
	52-2, NMSE : 0.046356201171875, lr : 0.011391731009600656
53-1, NMSE : 0.045654296875, lr : 0.011045284632676535
	53-2, NMSE : 0.047027587890625, lr : 0.011045284632676535
54-1, NMSE : 0.046295166015625, lr : 0.010697564737441254
	54-2, NMSE : 0.047576904296875, lr : 0.010697564737441254
55-1, NMSE : 0.046905517578125, lr : 0.010348994967025012
	55-2, NMSE : 0.048187255859375, lr : 0.010348994967025012
56-1, NMSE : 0.0474853515625, lr : 0.01
	56-2, NMSE : 0.048736572265625, lr : 0.01
57-1, NMSE : 0.048095703125, lr : 0.009651005032974993
	57-2, NMSE : 0.04931640625, lr : 0.009651005032974993
58-1, NMSE : 0.048614501953125, lr : 0.009302435262558747
	58-2, NMSE : 0.049835205078125, lr : 0.009302435262558747
59-1, NMSE : 0.049163818359375, lr : 0.008954715367323467
	59-2, NMSE : 0.050323486328125, lr : 0.008954715367323467
60-1, NMSE : 0.049713134765625, lr : 0.008608268990399346
	60-2, NMSE : 0.05084228515625, lr : 0.008608268990399346
61-1, NMSE : 0.0501708984375, lr : 0.008263518223330697
	61-2, NMSE : 0.051239013671875, lr : 0.008263518223330697
62-1, NMSE : 0.050689697265625, lr : 0.00792088309182241
