
  0%|                                                                                                                                                                                                                                                                                                  | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1-1, NMSE : 0.0175933837890625, lr : 0.005000000000000001
	1-2, NMSE : 0.0175933837890625, lr : 0.001
2-1, NMSE : 0.017364501953125, lr : 0.010000000000000002
	2-2, NMSE : 0.017364501953125, lr : 0.001
3-1, NMSE : 0.0170135498046875, lr : 0.015
	3-2, NMSE : 0.0170135498046875, lr : 0.001
4-1, NMSE : 0.016571044921875, lr : 0.020000000000000004
	4-2, NMSE : 0.016571044921875, lr : 0.001
5-1, NMSE : 0.0160369873046875, lr : 0.025
	5-2, NMSE : 0.0160369873046875, lr : 0.001
6-1, NMSE : 0.01541900634765625, lr : 0.03
	6-2, NMSE : 0.01541900634765625, lr : 0.001
7-1, NMSE : 0.01474761962890625, lr : 0.034999999999999996
	7-2, NMSE : 0.01474761962890625, lr : 0.001
8-1, NMSE : 0.01403045654296875, lr : 0.04000000000000001
	8-2, NMSE : 0.01403045654296875, lr : 0.001
9-1, NMSE : 0.0132598876953125, lr : 0.045000000000000005
	9-2, NMSE : 0.01328277587890625, lr : 0.001
10-1, NMSE : 0.01248931884765625, lr : 0.05
	10-2, NMSE : 0.01250457763671875, lr : 0.001
11-1, NMSE : 0.01180267333984375, lr : 0.05
	11-2, NMSE : 0.01180267333984375, lr : 0.001
12-1, NMSE : 0.0111541748046875, lr : 0.0499847706754774
	12-2, NMSE : 0.0111541748046875, lr : 0.001
13-1, NMSE : 0.0105743408203125, lr : 0.04993910125649561
	13-2, NMSE : 0.0105743408203125, lr : 0.001
14-1, NMSE : 0.01003265380859375, lr : 0.049863047384206834
	14-2, NMSE : 0.01004791259765625, lr : 0.001
15-1, NMSE : 0.00954437255859375, lr : 0.04975670171853926
	15-2, NMSE : 0.00954437255859375, lr : 0.001
16-1, NMSE : 0.00908660888671875, lr : 0.049620193825305206
	16-2, NMSE : 0.00910186767578125, lr : 0.001
17-1, NMSE : 0.00867462158203125, lr : 0.049453690018345146
	17-2, NMSE : 0.0086822509765625, lr : 0.001
18-1, NMSE : 0.00829315185546875, lr : 0.04925739315689991
	18-2, NMSE : 0.00829315185546875, lr : 0.001
19-1, NMSE : 0.0079498291015625, lr : 0.04903154239845797
	19-2, NMSE : 0.0079498291015625, lr : 0.001
20-1, NMSE : 0.007625579833984375, lr : 0.048776412907378844
	20-2, NMSE : 0.007640838623046875, lr : 0.001
21-1, NMSE : 0.00733184814453125, lr : 0.048492315519647715
	21-2, NMSE : 0.00734710693359375, lr : 0.001
22-1, NMSE : 0.007053375244140625, lr : 0.048179596364169686
	22-2, NMSE : 0.0070648193359375, lr : 0.001
23-1, NMSE : 0.006801605224609375, lr : 0.04783863644106502
	23-2, NMSE : 0.006816864013671875, lr : 0.001
24-1, NMSE : 0.00656890869140625, lr : 0.047469851157479176
	24-2, NMSE : 0.00658416748046875, lr : 0.001
25-1, NMSE : 0.0063629150390625, lr : 0.047073689821473176
	25-2, NMSE : 0.006374359130859375, lr : 0.001
26-1, NMSE : 0.006168365478515625, lr : 0.046650635094610975
	26-2, NMSE : 0.006168365478515625, lr : 0.001
27-1, NMSE : 0.005977630615234375, lr : 0.04620120240391065
	27-2, NMSE : 0.005985260009765625, lr : 0.001
28-1, NMSE : 0.00580596923828125, lr : 0.04572593931387604
	28-2, NMSE : 0.00582122802734375, lr : 0.001
29-1, NMSE : 0.00565338134765625, lr : 0.04522542485937369
	29-2, NMSE : 0.00565338134765625, lr : 0.001
30-1, NMSE : 0.00550079345703125, lr : 0.044700268840168055
	30-2, NMSE : 0.0055084228515625, lr : 0.001
31-1, NMSE : 0.005367279052734375, lr : 0.04415111107797445
	31-2, NMSE : 0.005367279052734375, lr : 0.001
32-1, NMSE : 0.005237579345703125, lr : 0.04357862063693486
	32-2, NMSE : 0.005237579345703125, lr : 0.001
33-1, NMSE : 0.005115509033203125, lr : 0.04298349500846628
	33-2, NMSE : 0.005123138427734375, lr : 0.001
34-1, NMSE : 0.0050048828125, lr : 0.042366459261474934
	34-2, NMSE : 0.005016326904296875, lr : 0.001
35-1, NMSE : 0.004901885986328125, lr : 0.04172826515897146
	35-2, NMSE : 0.004909515380859375, lr : 0.001
36-1, NMSE : 0.0048065185546875, lr : 0.04106969024216348
	36-2, NMSE : 0.00481414794921875, lr : 0.001
37-1, NMSE : 0.0047149658203125, lr : 0.040391536883141455
	37-2, NMSE : 0.004726409912109375, lr : 0.001
38-1, NMSE : 0.00463104248046875, lr : 0.03969463130731183
	38-2, NMSE : 0.004638671875, lr : 0.001
39-1, NMSE : 0.004550933837890625, lr : 0.03897982258676867
	39-2, NMSE : 0.004558563232421875, lr : 0.001
40-1, NMSE : 0.004474639892578125, lr : 0.03824798160583012
	40-2, NMSE : 0.004486083984375, lr : 0.001
41-1, NMSE : 0.004405975341796875, lr : 0.037500000000000006
	41-2, NMSE : 0.00441741943359375, lr : 0.001
42-1, NMSE : 0.004344940185546875, lr : 0.03673678906964727
	42-2, NMSE : 0.004352569580078125, lr : 0.001
43-1, NMSE : 0.00428009033203125, lr : 0.03595927866972694
	43-2, NMSE : 0.004291534423828125, lr : 0.001
44-1, NMSE : 0.0042266845703125, lr : 0.035168416076895005
	44-2, NMSE : 0.004238128662109375, lr : 0.001
45-1, NMSE : 0.004177093505859375, lr : 0.0343651648353978
	45-2, NMSE : 0.004180908203125, lr : 0.001
46-1, NMSE : 0.004123687744140625, lr : 0.033550503583141725
	46-2, NMSE : 0.0041351318359375, lr : 0.001
47-1, NMSE : 0.004077911376953125, lr : 0.032725424859373686
	47-2, NMSE : 0.004085540771484375, lr : 0.001
48-1, NMSE : 0.00403594970703125, lr : 0.03189093389542498
	48-2, NMSE : 0.0040435791015625, lr : 0.001
49-1, NMSE : 0.003997802734375, lr : 0.031048047389991697
	49-2, NMSE : 0.00400543212890625, lr : 0.001
50-1, NMSE : 0.003955841064453125, lr : 0.030197792270443988
	50-2, NMSE : 0.00396728515625, lr : 0.001
51-1, NMSE : 0.0039215087890625, lr : 0.029341204441673263
	51-2, NMSE : 0.003932952880859375, lr : 0.001
52-1, NMSE : 0.0038890838623046875, lr : 0.028479327524001643
	52-2, NMSE : 0.0038967132568359375, lr : 0.001
53-1, NMSE : 0.0038585662841796875, lr : 0.02761321158169134
	53-2, NMSE : 0.00386810302734375, lr : 0.001
54-1, NMSE : 0.0038299560546875, lr : 0.026743911843603137
	54-2, NMSE : 0.00383758544921875, lr : 0.001
55-1, NMSE : 0.003803253173828125, lr : 0.02587248741756253
	55-2, NMSE : 0.0038127899169921875, lr : 0.001
56-1, NMSE : 0.003780364990234375, lr : 0.025
	56-2, NMSE : 0.003787994384765625, lr : 0.001
57-1, NMSE : 0.0037593841552734375, lr : 0.024127512582437484
	57-2, NMSE : 0.003765106201171875, lr : 0.001
58-1, NMSE : 0.0037364959716796875, lr : 0.02325608815639687
	58-2, NMSE : 0.00374603271484375, lr : 0.001
59-1, NMSE : 0.00371551513671875, lr : 0.02238678841830867
	59-2, NMSE : 0.00373077392578125, lr : 0.001
60-1, NMSE : 0.0036983489990234375, lr : 0.021520672475998367
	60-2, NMSE : 0.0037078857421875, lr : 0.001
61-1, NMSE : 0.0036830902099609375, lr : 0.020658795558326743
	61-2, NMSE : 0.003696441650390625, lr : 0.001
62-1, NMSE : 0.00366973876953125, lr : 0.019802207729556022
	62-2, NMSE : 0.0036792755126953125, lr : 0.001
63-1, NMSE : 0.003658294677734375, lr : 0.018951952610008305
	63-2, NMSE : 0.003665924072265625, lr : 0.001
64-1, NMSE : 0.0036468505859375, lr : 0.018109066104575022
