
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1, NMSE : 0.0177154541015625, lr : 0.05
tensor(1872.2600, device='cuda:0') tensor(0.9222, device='cuda:0')
2, NMSE : 0.1563720703125, lr : 0.05
tensor(21.4261, device='cuda:0') tensor(0.7296, device='cuda:0')
3, NMSE : 0.1492919921875, lr : 0.05
tensor(17.0761, device='cuda:0') tensor(0.6804, device='cuda:0')
4, NMSE : 0.1439208984375, lr : 0.05
tensor(14.7978, device='cuda:0') tensor(0.6469, device='cuda:0')
5, NMSE : 0.1400146484375, lr : 0.05
tensor(12.4202, device='cuda:0') tensor(0.6112, device='cuda:0')
6, NMSE : 0.13671875, lr : 0.05
tensor(10.0246, device='cuda:0') tensor(0.6691, device='cuda:0')
7, NMSE : 0.1341552734375, lr : 0.05
tensor(8.4903, device='cuda:0') tensor(0.6638, device='cuda:0')
8, NMSE : 0.1312255859375, lr : 0.05
tensor(7.4602, device='cuda:0') tensor(0.6547, device='cuda:0')
9, NMSE : 0.1275634765625, lr : 0.05
tensor(6.7707, device='cuda:0') tensor(0.6527, device='cuda:0')
10, NMSE : 0.123779296875, lr : 0.05
tensor(6.2747, device='cuda:0') tensor(0.6758, device='cuda:0')
11, NMSE : 0.11956787109375, lr : 0.05
tensor(6.2306, device='cuda:0') tensor(0.4582, device='cuda:0')
12, NMSE : 0.11468505859375, lr : 0.05
tensor(5.9016, device='cuda:0') tensor(0.6212, device='cuda:0')
13, NMSE : 0.1097412109375, lr : 0.05
tensor(5.8679, device='cuda:0') tensor(0.5667, device='cuda:0')
14, NMSE : 0.10443115234375, lr : 0.05
tensor(5.6159, device='cuda:0') tensor(0.6275, device='cuda:0')
15, NMSE : 0.0992431640625, lr : 0.05
tensor(5.2718, device='cuda:0') tensor(0.6509, device='cuda:0')
16, NMSE : 0.09393310546875, lr : 0.05
tensor(4.9875, device='cuda:0') tensor(0.6991, device='cuda:0')
17, NMSE : 0.088623046875, lr : 0.05
tensor(4.7742, device='cuda:0') tensor(0.7354, device='cuda:0')
18, NMSE : 0.08349609375, lr : 0.05
tensor(4.6897, device='cuda:0') tensor(0.7221, device='cuda:0')
19, NMSE : 0.0787353515625, lr : 0.05
tensor(4.6273, device='cuda:0') tensor(0.7063, device='cuda:0')
20, NMSE : 0.07415771484375, lr : 0.05
tensor(4.5495, device='cuda:0') tensor(0.6433, device='cuda:0')
21, NMSE : 0.0699462890625, lr : 0.05
tensor(4.4496, device='cuda:0') tensor(0.6239, device='cuda:0')
22, NMSE : 0.06591796875, lr : 0.05
tensor(4.4463, device='cuda:0') tensor(0.6368, device='cuda:0')
23, NMSE : 0.062164306640625, lr : 0.05
tensor(4.4333, device='cuda:0') tensor(0.5307, device='cuda:0')
24, NMSE : 0.05865478515625, lr : 0.05
tensor(4.1981, device='cuda:0') tensor(0.5385, device='cuda:0')
25, NMSE : 0.055328369140625, lr : 0.05
tensor(3.9317, device='cuda:0') tensor(0.5091, device='cuda:0')
26, NMSE : 0.05224609375, lr : 0.05
tensor(3.8986, device='cuda:0') tensor(0.4190, device='cuda:0')
27, NMSE : 0.04931640625, lr : 0.05
tensor(3.9596, device='cuda:0') tensor(0.4358, device='cuda:0')
28, NMSE : 0.046478271484375, lr : 0.05
tensor(3.6657, device='cuda:0') tensor(0.6584, device='cuda:0')
29, NMSE : 0.0438232421875, lr : 0.05
tensor(3.5100, device='cuda:0') tensor(0.6973, device='cuda:0')
30, NMSE : 0.041229248046875, lr : 0.05
tensor(3.4370, device='cuda:0') tensor(0.7017, device='cuda:0')
31, NMSE : 0.03875732421875, lr : 0.05
tensor(3.4598, device='cuda:0') tensor(0.6457, device='cuda:0')
32, NMSE : 0.03643798828125, lr : 0.05
tensor(3.4814, device='cuda:0') tensor(0.5784, device='cuda:0')
33, NMSE : 0.03424072265625, lr : 0.05
tensor(3.3254, device='cuda:0') tensor(0.6663, device='cuda:0')
34, NMSE : 0.032196044921875, lr : 0.05
tensor(3.2453, device='cuda:0') tensor(0.6937, device='cuda:0')
35, NMSE : 0.0302276611328125, lr : 0.05
tensor(3.2349, device='cuda:0') tensor(0.6786, device='cuda:0')
36, NMSE : 0.0283966064453125, lr : 0.05
tensor(3.2161, device='cuda:0') tensor(0.6494, device='cuda:0')
37, NMSE : 0.0267333984375, lr : 0.05
tensor(3.1696, device='cuda:0') tensor(0.6698, device='cuda:0')
38, NMSE : 0.025146484375, lr : 0.05
tensor(3.2098, device='cuda:0') tensor(0.4671, device='cuda:0')
39, NMSE : 0.0236968994140625, lr : 0.05
tensor(3.0446, device='cuda:0') tensor(0.6605, device='cuda:0')
40, NMSE : 0.022369384765625, lr : 0.05
tensor(2.9842, device='cuda:0') tensor(0.6762, device='cuda:0')
41, NMSE : 0.021087646484375, lr : 0.05
tensor(2.9577, device='cuda:0') tensor(0.6849, device='cuda:0')
42, NMSE : 0.0199127197265625, lr : 0.05
tensor(2.9318, device='cuda:0') tensor(0.6721, device='cuda:0')
43, NMSE : 0.01885986328125, lr : 0.05
tensor(2.9407, device='cuda:0') tensor(0.6459, device='cuda:0')
44, NMSE : 0.0178680419921875, lr : 0.05
tensor(2.9041, device='cuda:0') tensor(0.6716, device='cuda:0')
45, NMSE : 0.0169525146484375, lr : 0.05
tensor(2.9463, device='cuda:0') tensor(0.5655, device='cuda:0')
46, NMSE : 0.016143798828125, lr : 0.05
tensor(2.8712, device='cuda:0') tensor(0.5169, device='cuda:0')
47, NMSE : 0.01534271240234375, lr : 0.05
tensor(2.8426, device='cuda:0') tensor(0.5847, device='cuda:0')
48, NMSE : 0.01459503173828125, lr : 0.05
tensor(2.7974, device='cuda:0') tensor(0.6172, device='cuda:0')
49, NMSE : 0.0139007568359375, lr : 0.05
tensor(2.7364, device='cuda:0') tensor(0.6581, device='cuda:0')
50, NMSE : 0.01325225830078125, lr : 0.05
tensor(3.0175, device='cuda:0') tensor(0.3460, device='cuda:0')
51, NMSE : 0.01263427734375, lr : 0.05
tensor(2.8480, device='cuda:0') tensor(0.3822, device='cuda:0')
52, NMSE : 0.0120697021484375, lr : 0.05
tensor(2.5995, device='cuda:0') tensor(0.6701, device='cuda:0')
53, NMSE : 0.01151275634765625, lr : 0.05
tensor(2.6015, device='cuda:0') tensor(0.6477, device='cuda:0')
54, NMSE : 0.0110015869140625, lr : 0.05
tensor(2.6374, device='cuda:0') tensor(0.6441, device='cuda:0')
55, NMSE : 0.01050567626953125, lr : 0.05
tensor(2.6638, device='cuda:0') tensor(0.6552, device='cuda:0')
56, NMSE : 0.0100555419921875, lr : 0.05
tensor(2.6958, device='cuda:0') tensor(0.6347, device='cuda:0')
57, NMSE : 0.00965118408203125, lr : 0.05
tensor(2.6819, device='cuda:0') tensor(0.6295, device='cuda:0')
58, NMSE : 0.00927734375, lr : 0.05
tensor(2.6102, device='cuda:0') tensor(0.6592, device='cuda:0')
59, NMSE : 0.008941650390625, lr : 0.05
tensor(2.5885, device='cuda:0') tensor(0.6691, device='cuda:0')
60, NMSE : 0.0086212158203125, lr : 0.05
tensor(2.5931, device='cuda:0') tensor(0.6513, device='cuda:0')
61, NMSE : 0.008331298828125, lr : 0.05
tensor(2.6003, device='cuda:0') tensor(0.6519, device='cuda:0')
62, NMSE : 0.00804901123046875, lr : 0.05
tensor(2.6340, device='cuda:0') tensor(0.6325, device='cuda:0')
63, NMSE : 0.007793426513671875, lr : 0.05
tensor(2.6082, device='cuda:0') tensor(0.6658, device='cuda:0')
64, NMSE : 0.007556915283203125, lr : 0.05
tensor(2.5680, device='cuda:0') tensor(0.6789, device='cuda:0')
