
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
start, NMSE : 0.0177154541015625
1, NMSE : 0.0177154541015625, lr : 0.05
tensor(0.4133, device='cuda:0') tensor(0.7518, device='cuda:0')
2, NMSE : 0.01654052734375, lr : 0.05
tensor(0.3833, device='cuda:0') tensor(0.7348, device='cuda:0')
3, NMSE : 0.015472412109375, lr : 0.05
tensor(0.3471, device='cuda:0') tensor(0.7182, device='cuda:0')
4, NMSE : 0.01450347900390625, lr : 0.05
tensor(0.3019, device='cuda:0') tensor(0.7275, device='cuda:0')
5, NMSE : 0.0136260986328125, lr : 0.05
tensor(0.2854, device='cuda:0') tensor(0.7119, device='cuda:0')
6, NMSE : 0.01280975341796875, lr : 0.05
tensor(0.2560, device='cuda:0') tensor(0.7193, device='cuda:0')
7, NMSE : 0.01207733154296875, lr : 0.05
tensor(0.2210, device='cuda:0') tensor(0.7243, device='cuda:0')
8, NMSE : 0.0113983154296875, lr : 0.05
tensor(0.2058, device='cuda:0') tensor(0.7031, device='cuda:0')
9, NMSE : 0.01078033447265625, lr : 0.05
tensor(0.1863, device='cuda:0') tensor(0.7112, device='cuda:0')
10, NMSE : 0.010223388671875, lr : 0.05
tensor(0.1673, device='cuda:0') tensor(0.6964, device='cuda:0')
11, NMSE : 0.00970458984375, lr : 0.05
tensor(0.1478, device='cuda:0') tensor(0.7095, device='cuda:0')
12, NMSE : 0.0092315673828125, lr : 0.05
tensor(0.1353, device='cuda:0') tensor(0.6788, device='cuda:0')
13, NMSE : 0.0087890625, lr : 0.05
tensor(0.1248, device='cuda:0') tensor(0.6881, device='cuda:0')
14, NMSE : 0.00838470458984375, lr : 0.05
tensor(0.1091, device='cuda:0') tensor(0.6763, device='cuda:0')
15, NMSE : 0.0080108642578125, lr : 0.05
tensor(0.1006, device='cuda:0') tensor(0.6681, device='cuda:0')
16, NMSE : 0.007663726806640625, lr : 0.05
tensor(0.0844, device='cuda:0') tensor(0.6697, device='cuda:0')
17, NMSE : 0.00734710693359375, lr : 0.05
tensor(0.0839, device='cuda:0') tensor(0.6199, device='cuda:0')
18, NMSE : 0.007053375244140625, lr : 0.05
tensor(0.0737, device='cuda:0') tensor(0.6355, device='cuda:0')
19, NMSE : 0.00678253173828125, lr : 0.05
tensor(0.0682, device='cuda:0') tensor(0.6295, device='cuda:0')
20, NMSE : 0.006526947021484375, lr : 0.05
tensor(0.0602, device='cuda:0') tensor(0.5966, device='cuda:0')
21, NMSE : 0.006298065185546875, lr : 0.05
tensor(0.0558, device='cuda:0') tensor(0.5864, device='cuda:0')
22, NMSE : 0.006072998046875, lr : 0.05
tensor(0.0509, device='cuda:0') tensor(0.5669, device='cuda:0')
23, NMSE : 0.005870819091796875, lr : 0.05
tensor(0.0453, device='cuda:0') tensor(0.5607, device='cuda:0')
24, NMSE : 0.005672454833984375, lr : 0.05
tensor(0.0420, device='cuda:0') tensor(0.5589, device='cuda:0')
25, NMSE : 0.00550079345703125, lr : 0.05
tensor(0.0365, device='cuda:0') tensor(0.5386, device='cuda:0')
26, NMSE : 0.005329132080078125, lr : 0.05
tensor(0.0349, device='cuda:0') tensor(0.5205, device='cuda:0')
27, NMSE : 0.00518035888671875, lr : 0.05
tensor(0.0311, device='cuda:0') tensor(0.5083, device='cuda:0')
28, NMSE : 0.005035400390625, lr : 0.05
tensor(0.0298, device='cuda:0') tensor(0.4913, device='cuda:0')
29, NMSE : 0.00489044189453125, lr : 0.05
tensor(0.0273, device='cuda:0') tensor(0.4523, device='cuda:0')
30, NMSE : 0.0047607421875, lr : 0.05
tensor(0.0238, device='cuda:0') tensor(0.4775, device='cuda:0')
31, NMSE : 0.004638671875, lr : 0.05
tensor(0.0206, device='cuda:0') tensor(0.4440, device='cuda:0')
32, NMSE : 0.0045318603515625, lr : 0.05
tensor(0.0233, device='cuda:0') tensor(0.3941, device='cuda:0')
33, NMSE : 0.004421234130859375, lr : 0.05
tensor(0.0176, device='cuda:0') tensor(0.3888, device='cuda:0')
34, NMSE : 0.004322052001953125, lr : 0.05
tensor(0.0180, device='cuda:0') tensor(0.3981, device='cuda:0')
35, NMSE : 0.0042266845703125, lr : 0.05
tensor(0.0162, device='cuda:0') tensor(0.3923, device='cuda:0')
36, NMSE : 0.0041351318359375, lr : 0.05
tensor(0.0152, device='cuda:0') tensor(0.3324, device='cuda:0')
37, NMSE : 0.00405120849609375, lr : 0.05
tensor(0.0142, device='cuda:0') tensor(0.3684, device='cuda:0')
38, NMSE : 0.003971099853515625, lr : 0.05
tensor(0.0121, device='cuda:0') tensor(0.3345, device='cuda:0')
39, NMSE : 0.0038928985595703125, lr : 0.05
tensor(0.0128, device='cuda:0') tensor(0.3443, device='cuda:0')
40, NMSE : 0.0038204193115234375, lr : 0.05
tensor(0.0103, device='cuda:0') tensor(0.2965, device='cuda:0')
41, NMSE : 0.003753662109375, lr : 0.05
tensor(0.0117, device='cuda:0') tensor(0.3135, device='cuda:0')
42, NMSE : 0.0036869049072265625, lr : 0.05
tensor(0.0089, device='cuda:0') tensor(0.2734, device='cuda:0')
43, NMSE : 0.0036258697509765625, lr : 0.05
tensor(0.0088, device='cuda:0') tensor(0.2857, device='cuda:0')
44, NMSE : 0.0035686492919921875, lr : 0.05
tensor(0.0085, device='cuda:0') tensor(0.2508, device='cuda:0')
45, NMSE : 0.0035076141357421875, lr : 0.05
tensor(0.0077, device='cuda:0') tensor(0.2484, device='cuda:0')
46, NMSE : 0.00345611572265625, lr : 0.05
tensor(0.0079, device='cuda:0') tensor(0.2257, device='cuda:0')
47, NMSE : 0.0034027099609375, lr : 0.05
tensor(0.0062, device='cuda:0') tensor(0.2032, device='cuda:0')
48, NMSE : 0.0033550262451171875, lr : 0.05
tensor(0.0070, device='cuda:0') tensor(0.2330, device='cuda:0')
49, NMSE : 0.00330352783203125, lr : 0.05
tensor(0.0062, device='cuda:0') tensor(0.2076, device='cuda:0')
50, NMSE : 0.0032596588134765625, lr : 0.05
tensor(0.0059, device='cuda:0') tensor(0.2026, device='cuda:0')
51, NMSE : 0.0032176971435546875, lr : 0.05
tensor(0.0055, device='cuda:0') tensor(0.1883, device='cuda:0')
52, NMSE : 0.003177642822265625, lr : 0.05
tensor(0.0057, device='cuda:0') tensor(0.2084, device='cuda:0')
53, NMSE : 0.0031337738037109375, lr : 0.05
tensor(0.0054, device='cuda:0') tensor(0.2008, device='cuda:0')
54, NMSE : 0.0030956268310546875, lr : 0.05
tensor(0.0038, device='cuda:0') tensor(0.1582, device='cuda:0')
55, NMSE : 0.0030574798583984375, lr : 0.05
tensor(0.0049, device='cuda:0') tensor(0.1871, device='cuda:0')
56, NMSE : 0.003025054931640625, lr : 0.05
tensor(0.0042, device='cuda:0') tensor(0.1605, device='cuda:0')
57, NMSE : 0.00299072265625, lr : 0.05
tensor(0.0038, device='cuda:0') tensor(0.1459, device='cuda:0')
58, NMSE : 0.0029582977294921875, lr : 0.05
tensor(0.0037, device='cuda:0') tensor(0.1409, device='cuda:0')
59, NMSE : 0.0029239654541015625, lr : 0.05
tensor(0.0032, device='cuda:0') tensor(0.1278, device='cuda:0')
60, NMSE : 0.0028934478759765625, lr : 0.05
tensor(0.0040, device='cuda:0') tensor(0.1323, device='cuda:0')
61, NMSE : 0.002864837646484375, lr : 0.05
tensor(0.0034, device='cuda:0') tensor(0.1286, device='cuda:0')
62, NMSE : 0.0028362274169921875, lr : 0.05
tensor(0.0036, device='cuda:0') tensor(0.1447, device='cuda:0')
63, NMSE : 0.0028076171875, lr : 0.05
tensor(0.0027, device='cuda:0') tensor(0.1161, device='cuda:0')
