
  0%|                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(167.9697, device='cuda:0') 167.96968427696265
tensor(152.0611, device='cuda:0') 152.0611424693643
tensor(137.3251, device='cuda:0') 137.3251453326966
tensor(124.0102, device='cuda:0') 124.01019150018692
tensor(112.4182, device='cuda:0') 112.41818250263259
tensor(101.4809, device='cuda:0') 101.48087176569334
tensor(91.6775, device='cuda:0') 91.67753494959106
tensor(83.2048, device='cuda:0') 83.2048419817229
tensor(75.3298, device='cuda:0') 75.3297572076699
tensor(68.2269, device='cuda:0') 68.22692633070346
tensor(61.8327, device='cuda:0') 61.83274432128405
tensor(56.2029, device='cuda:0') 56.20291741869005
tensor(51.0621, device='cuda:0') 51.06211171216364
tensor(46.3259, device='cuda:0') 46.32585173248026
tensor(42.1726, device='cuda:0') 42.17259903453305
tensor(38.3635, device='cuda:0') 38.3635184195557
tensor(35.1537, device='cuda:0') 35.15369572980944
tensor(31.9969, device='cuda:0') 31.99691855000856
tensor(29.2125, device='cuda:0') 29.212475751054626
tensor(26.6432, device='cuda:0') 26.64316422536308
tensor(24.3937, device='cuda:0') 24.393694019996474
tensor(22.3118, device='cuda:0') 22.311787976101186
tensor(20.4270, device='cuda:0') 20.426990278996527
tensor(18.7341, device='cuda:0') 18.73409007215764
tensor(17.1881, device='cuda:0') 17.188053959155013
tensor(15.8271, device='cuda:0') 15.827082210576066
tensor(14.5512, device='cuda:0') 14.551173090152588
tensor(13.4063, device='cuda:0') 13.406328922394607
tensor(12.3301, device='cuda:0') 12.33011403110828
tensor(11.3442, device='cuda:0') 11.344195092693553
tensor(10.4895, device='cuda:0') 10.489450475254273
tensor(9.7545, device='cuda:0') 9.754494025968597
tensor(8.9457, device='cuda:0') 8.945652762620796
tensor(8.3229, device='cuda:0') 8.322911293983054
tensor(7.6888, device='cuda:0') 7.6888216126974385
tensor(7.1228, device='cuda:0') 7.122756211471426
tensor(6.5981, device='cuda:0') 6.598096366637037
tensor(6.1240, device='cuda:0') 6.124044379644658
tensor(5.7084, device='cuda:0') 5.708371065850088
tensor(5.2796, device='cuda:0') 5.279561914911085
tensor(4.9333, device='cuda:0') 4.933304682263554
tensor(4.5505, device='cuda:0') 4.550451412796974
tensor(4.2670, device='cuda:0') 4.267040868933748
tensor(3.9889, device='cuda:0') 3.988915503812734
tensor(3.7148, device='cuda:0') 3.7148054801110817
tensor(3.4750, device='cuda:0') 3.47504073208826
tensor(3.2342, device='cuda:0') 3.2342418623022837
tensor(3.0492, device='cuda:0') 3.0491660257473683
tensor(2.8388, device='cuda:0') 2.8388074195394353
tensor(2.6614, device='cuda:0') 2.661445309895555
tensor(2.4940, device='cuda:0') 2.4940143027770887
tensor(2.3415, device='cuda:0') 2.341456235641104
tensor(2.1849, device='cuda:0') 2.1849204040222645
tensor(2.0421, device='cuda:0') 2.042095569626113
tensor(1.9409, device='cuda:0') 1.9408611977835335
tensor(1.8099, device='cuda:0') 1.8098932428959102
tensor(1.7082, device='cuda:0') 1.7082033003773631
tensor(1.6082, device='cuda:0') 1.6082097937010218
tensor(1.5182, device='cuda:0') 1.5181873513939195
tensor(1.4438, device='cuda:0') 1.4438009133533
tensor(1.3532, device='cuda:0') 1.3532004132341626
tensor(1.2699, device='cuda:0') 1.2698847074645983
tensor(1.1935, device='cuda:0') 1.19346528438804
tensor(1.1350, device='cuda:0') 1.1350314478001025
tensor(1.0698, device='cuda:0') 1.0698146500383245
tensor(1.0155, device='cuda:0') 1.015463066418306
tensor(0.9798, device='cuda:0') 0.979761692778883
tensor(0.9182, device='cuda:0') 0.918211850844969
tensor(0.8694, device='cuda:0') 0.8693945247394232
tensor(0.8249, device='cuda:0') 0.824927868492896
tensor(0.7725, device='cuda:0') 0.7725204114609738
tensor(0.7480, device='cuda:0') 0.7480189017380532
tensor(0.7129, device='cuda:0') 0.712906456635384
tensor(0.6723, device='cuda:0') 0.6723117214569498
tensor(0.6398, device='cuda:0') 0.6397669622879256
tensor(0.6002, device='cuda:0') 0.6001500943654072
tensor(0.5861, device='cuda:0') 0.5861235033235381
tensor(0.5497, device='cuda:0') 0.5497175381657406
tensor(0.5228, device='cuda:0') 0.522795955986112
tensor(0.4924, device='cuda:0') 0.49242576387067416
tensor(0.4682, device='cuda:0') 0.4682338680410716
tensor(0.4609, device='cuda:0') 0.4608912136725998
tensor(0.4320, device='cuda:0') 0.43195404080487165
tensor(0.4090, device='cuda:0') 0.4090024367325249
tensor(0.3906, device='cuda:0') 0.39055511667983467
tensor(0.3738, device='cuda:0') 0.3737668964944909
tensor(0.3615, device='cuda:0') 0.3615050659622199
tensor(0.3435, device='cuda:0') 0.3435069709331948
tensor(0.3304, device='cuda:0') 0.33036593566805905
tensor(0.3056, device='cuda:0') 0.305563984749174
tensor(0.2999, device='cuda:0') 0.29986272573498596
tensor(0.2861, device='cuda:0') 0.28605923194831817
tensor(0.2737, device='cuda:0') 0.2737128302308065
tensor(0.2692, device='cuda:0') 0.26920974358155547
tensor(0.2500, device='cuda:0') 0.24998348978599338
tensor(0.2415, device='cuda:0') 0.24150357619159823
tensor(0.2349, device='cuda:0') 0.2348937552722754
tensor(0.2265, device='cuda:0') 0.22645224113411988
tensor(0.2174, device='cuda:0') 0.2173918437987119
tensor(0.2035, device='cuda:0') 0.20351962384392497
tensor(0.2088, device='cuda:0') 0.20879361458000645
tensor(0.1937, device='cuda:0') 0.19374849199788802
tensor(0.1857, device='cuda:0') 0.1856888656695901
tensor(0.1830, device='cuda:0') 0.1829630693510218
tensor(0.1695, device='cuda:0') 0.1695237700056973
tensor(0.1683, device='cuda:0') 0.1683427041232699
tensor(0.1615, device='cuda:0') 0.16145311252547945
tensor(0.1560, device='cuda:0') 0.15602999980878796
tensor(0.1525, device='cuda:0') 0.15253134130194557
tensor(0.1505, device='cuda:0') 0.15054336133643176
tensor(0.1349, device='cuda:0') 0.13489328961510694
tensor(0.1367, device='cuda:0') 0.13667131383488496
tensor(0.1311, device='cuda:0') 0.13113987532840898
tensor(0.1352, device='cuda:0') 0.1351695263343231
tensor(0.1293, device='cuda:0') 0.12933372875103544
tensor(0.1256, device='cuda:0') 0.12560067600465263
tensor(0.1240, device='cuda:0') 0.12403898413145953
tensor(0.1186, device='cuda:0') 0.11858750003335672
tensor(0.1144, device='cuda:0') 0.114406900814644
tensor(0.1204, device='cuda:0') 0.12038097840613293
tensor(0.1046, device='cuda:0') 0.10462680395353008
tensor(0.1082, device='cuda:0') 0.10821723156199425
tensor(0.1028, device='cuda:0') 0.1027672407518887
tensor(0.0949, device='cuda:0') 0.09491998147356995
tensor(0.0935, device='cuda:0') 0.09351755329731759
tensor(0.0924, device='cuda:0') 0.09237763839644586
tensor(0.0901, device='cuda:0') 0.09009666414417339
tensor(0.0850, device='cuda:0') 0.08504788300275212
tensor(0.0827, device='cuda:0') 0.08274342494749565
tensor(0.0849, device='cuda:0') 0.08493126914871496
tensor(0.0819, device='cuda:0') 0.08194211386600703
tensor(0.0790, device='cuda:0') 0.07902389809411048
tensor(0.0757, device='cuda:0') 0.07572792632305791
tensor(0.0779, device='cuda:0') 0.07786234521214297
tensor(0.0707, device='cuda:0') 0.07066584782549601
tensor(0.0741, device='cuda:0') 0.07411543595584025
tensor(0.0701, device='cuda:0') 0.0700681071423368
tensor(0.0724, device='cuda:0') 0.0724262683293233
tensor(0.0686, device='cuda:0') 0.06856272213353609
tensor(0.0683, device='cuda:0') 0.0683379916768132
tensor(0.0636, device='cuda:0') 0.06357249837323309
tensor(0.0635, device='cuda:0') 0.06350371665604726
tensor(0.0640, device='cuda:0') 0.06395247319489172
tensor(0.0623, device='cuda:0') 0.06226325889511686
tensor(0.0585, device='cuda:0') 0.05854498964922983
tensor(0.0581, device='cuda:0') 0.05814028234277657
tensor(0.0537, device='cuda:0') 0.05366573814724607
tensor(0.0520, device='cuda:0') 0.05204320073558777
tensor(0.0567, device='cuda:0') 0.05670859525701477
tensor(0.0476, device='cuda:0') 0.047606518224259986
tensor(0.0479, device='cuda:0') 0.04793474523559471
tensor(0.0496, device='cuda:0') 0.04963691249124569
tensor(0.0482, device='cuda:0') 0.04822582538739817
tensor(0.0456, device='cuda:0') 0.04556050796758471
tensor(0.0460, device='cuda:0') 0.046016730225911795
tensor(0.0431, device='cuda:0') 0.043094312901514664
tensor(0.0405, device='cuda:0') 0.04047762387024734
tensor(0.0389, device='cuda:0') 0.03885402522846726
tensor(0.0387, device='cuda:0') 0.03871484309829776
tensor(0.0379, device='cuda:0') 0.03786557055524131
tensor(0.0352, device='cuda:0') 0.03517550866231378
tensor(0.0338, device='cuda:0') 0.03378069153383567
tensor(0.0345, device='cuda:0') 0.03446806039866446
tensor(0.0322, device='cuda:0') 0.03218255716453933
tensor(0.0344, device='cuda:0') 0.03441430088198616
tensor(0.0323, device='cuda:0') 0.032260924035335314
