  0%|                                                                                                                                                                                                                                                                       | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.7582, device='cuda:0') 117.0625 119.875
tensor(0.7580, device='cuda:0') 117.0625 119.875
tensor(0.7578, device='cuda:0') 117.0625 119.875
tensor(0.7574, device='cuda:0') 117.0625 119.875
tensor(0.7571, device='cuda:0') 117.0625 119.875
tensor(0.7565, device='cuda:0') 117.0625 119.875
tensor(0.7560, device='cuda:0') 117.0625 119.875
tensor(0.7553, device='cuda:0') 117.0625 119.875
tensor(0.7549, device='cuda:0') 117.0625 119.875
tensor(0.7543, device='cuda:0') 117.0625 119.875
tensor(0.7535, device='cuda:0') 117.0625 119.875
tensor(0.7533, device='cuda:0') 117.0625 119.875
tensor(0.7526, device='cuda:0') 117.0625 119.875
tensor(0.7519, device='cuda:0') 117.0625 119.875
tensor(0.7513, device='cuda:0') 117.0625 119.875
tensor(0.7504, device='cuda:0') 117.0625 119.875
tensor(0.7498, device='cuda:0') 117.0625 119.875
tensor(0.7495, device='cuda:0') 117.0625 119.875
tensor(0.7488, device='cuda:0') 117.0625 119.875
tensor(0.7482, device='cuda:0') 117.0625 119.8125
tensor(0.7476, device='cuda:0') 117.0625 119.875
tensor(0.7471, device='cuda:0') 117.0625 119.875
tensor(0.7465, device='cuda:0') 117.0625 119.875
tensor(0.7456, device='cuda:0') 117.0625 119.875
tensor(0.7454, device='cuda:0') 117.0625 119.875
tensor(0.7446, device='cuda:0') 117.0625 119.875
tensor(0.7442, device='cuda:0') 117.0625 119.875
tensor(0.7435, device='cuda:0') 117.0625 119.875
tensor(0.7428, device='cuda:0') 117.0625 119.875
tensor(0.7425, device='cuda:0') 117.0625 119.875
tensor(0.7420, device='cuda:0') 117.0625 119.875
tensor(0.7414, device='cuda:0') 117.0625 119.875
tensor(0.7408, device='cuda:0') 117.0625 119.875
tensor(0.7407, device='cuda:0') 117.0625 119.875
tensor(0.7399, device='cuda:0') 117.0625 119.875
tensor(0.7393, device='cuda:0') 117.0625 119.875
tensor(0.7390, device='cuda:0') 117.0625 119.875
tensor(0.7383, device='cuda:0') 117.0625 119.875
