  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.7429, device='cuda:0') 117.0625 119.875
tensor(0.7430, device='cuda:0') 117.0625 119.875
tensor(0.7404, device='cuda:0') 117.0 119.875
tensor(0.7380, device='cuda:0') 117.0 119.8125
tensor(0.7334, device='cuda:0') 116.9375 119.75
tensor(0.7252, device='cuda:0') 116.875 119.625
tensor(0.7151, device='cuda:0') 116.75 119.5625
tensor(0.7046, device='cuda:0') 116.6875 119.4375
tensor(0.6889, device='cuda:0') 116.5625 119.3125
tensor(0.6697, device='cuda:0') 116.5 119.1875
tensor(0.6493, device='cuda:0') 116.4375 119.0625
tensor(0.6196, device='cuda:0') 116.3125 118.9375
tensor(0.5882, device='cuda:0') 116.25 118.8125
tensor(0.5551, device='cuda:0') 116.1875 118.6875
tensor(0.5126, device='cuda:0') 116.0625 118.5625
tensor(0.4719, device='cuda:0') 116.0 118.4375
tensor(0.4277, device='cuda:0') 115.9375 118.3125
tensor(0.3725, device='cuda:0') 115.875 118.1875
tensor(0.3246, device='cuda:0') 115.8125 118.125
tensor(0.2779, device='cuda:0') 115.8125 118.0
tensor(0.2317, device='cuda:0') 115.75 117.875
tensor(0.1936, device='cuda:0') 115.6875 117.8125
tensor(0.1559, device='cuda:0') 115.625 117.75
tensor(0.1297, device='cuda:0') 115.625 117.625
tensor(0.1147, device='cuda:0') 115.5625 117.5625
tensor(0.0930, device='cuda:0') 115.5625 117.4375
tensor(0.0869, device='cuda:0') 115.5 117.375
tensor(0.0815, device='cuda:0') 115.5 117.3125
tensor(0.0736, device='cuda:0') 115.4375 117.25
tensor(0.0738, device='cuda:0') 115.4375 117.1875
tensor(0.0690, device='cuda:0') 115.375 117.125
tensor(0.0678, device='cuda:0') 115.375 117.0625
tensor(0.0602, device='cuda:0') 115.375 117.0
tensor(0.0542, device='cuda:0') 115.3125 117.0
tensor(0.0408, device='cuda:0') 115.3125 116.9375
tensor(0.0328, device='cuda:0') 115.3125 116.875
