  0%|                                                                                                                                                                                                                                                                       | 0/2 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.8388, device='cuda:0') 117.0625 119.875
tensor(0.8382, device='cuda:0') 117.0 119.875
tensor(0.8378, device='cuda:0') 117.0 119.8125
tensor(0.8373, device='cuda:0') 117.0 119.8125
tensor(0.8371, device='cuda:0') 116.9375 119.8125
tensor(0.8364, device='cuda:0') 116.9375 119.75
tensor(0.8361, device='cuda:0') 116.9375 119.75
tensor(0.8355, device='cuda:0') 116.875 119.6875
tensor(0.8354, device='cuda:0') 116.875 119.6875
tensor(0.8347, device='cuda:0') 116.875 119.6875
tensor(0.8347, device='cuda:0') 116.875 119.625
tensor(0.8342, device='cuda:0') 116.8125 119.625
tensor(0.8337, device='cuda:0') 116.8125 119.5625
tensor(0.8333, device='cuda:0') 116.8125 119.5625
tensor(0.8326, device='cuda:0') 116.75 119.5625
tensor(0.8326, device='cuda:0') 116.75 119.5
tensor(0.8322, device='cuda:0') 116.75 119.4375
tensor(0.8314, device='cuda:0') 116.6875 119.5
tensor(0.8316, device='cuda:0') 116.6875 119.4375
tensor(0.8312, device='cuda:0') 116.6875 119.375
tensor(0.8307, device='cuda:0') 116.625 119.375
tensor(0.8304, device='cuda:0') 116.625 119.375
tensor(0.8299, device='cuda:0') 116.625 119.3125
tensor(0.8296, device='cuda:0') 116.625 119.3125
tensor(0.8295, device='cuda:0') 116.5625 119.3125
tensor(0.8290, device='cuda:0') 116.5625 119.25
tensor(0.8287, device='cuda:0') 116.5625 119.25
tensor(0.8283, device='cuda:0') 116.5 119.1875
tensor(0.8280, device='cuda:0') 116.5 119.1875
tensor(0.8276, device='cuda:0') 116.5 119.1875
tensor(0.8274, device='cuda:0') 116.5 119.125
tensor(0.8268, device='cuda:0') 116.4375 119.125
tensor(0.8264, device='cuda:0') 116.4375 119.125
tensor(0.8266, device='cuda:0') 116.4375 119.0625
tensor(0.8262, device='cuda:0') 116.375 119.0625
tensor(0.8255, device='cuda:0') 116.375 119.0
tensor(0.8254, device='cuda:0') 116.375 119.0
tensor(0.8249, device='cuda:0') 116.375 119.0
tensor(0.8245, device='cuda:0') 116.3125 118.9375
tensor(0.8245, device='cuda:0') 116.3125 118.9375
tensor(0.8238, device='cuda:0') 116.3125 118.9375
tensor(0.8237, device='cuda:0') 116.3125 118.875
tensor(0.8235, device='cuda:0') 116.25 118.875
tensor(0.8230, device='cuda:0') 116.25 118.8125
tensor(0.8228, device='cuda:0') 116.25 118.8125
tensor(0.8225, device='cuda:0') 116.25 118.8125
tensor(0.8222, device='cuda:0') 116.1875 118.75
tensor(0.8218, device='cuda:0') 116.1875 118.6875
tensor(0.8217, device='cuda:0') 116.1875 118.6875
tensor(0.8213, device='cuda:0') 116.1875 118.6875
tensor(0.8210, device='cuda:0') 116.125 118.625
tensor(0.8206, device='cuda:0') 116.125 118.625
tensor(0.8202, device='cuda:0') 116.125 118.625
tensor(0.8200, device='cuda:0') 116.125 118.5625
tensor(0.8194, device='cuda:0') 116.0625 118.5625
tensor(0.8192, device='cuda:0') 116.0625 118.5625
tensor(0.8185, device='cuda:0') 116.0625 118.5
tensor(0.8183, device='cuda:0') 116.0625 118.5
tensor(0.8182, device='cuda:0') 116.0 118.4375
tensor(0.8173, device='cuda:0') 116.0 118.4375
